,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
DOCK3,-0.5847433659546902,-0.5563307893825049,-0.05373282333816202,0.031689026990999764,down,-0.7618202824573252
CADM2,-0.43091276489194663,-0.3801247397494689,-0.053014019281355115,-0.03677514698983804,down,-0.5276428153937189
GPC6,-0.4281452419128375,-0.42245490769558564,-0.05373654593122821,-0.047098069931372354,down,-0.1902356512976685
RORA,-0.5419871765133941,-0.5115621191902525,-0.04923077803332447,0.08066680133922483,down,0.7124145104200301
PHIP,-0.39786057978724737,-0.36344360409435167,-0.03037934273948059,0.05011305147827748,down,0.7220957315588085
RRM1,-0.6520129103168101,-0.6373776717887829,-0.029975277986387838,-0.05028605437685648,down,0.7463852258135342
VPS13B,-0.3941961832827058,-0.35306935345126544,-0.04369342044759877,0.0803441248480598,down,0.8787764823490047
ASAP1,-0.5331554587492822,-0.5300028248731,-0.06371048026310713,-0.11736479697966916,down,0.8813971257835178
ZFPM2-AS1,-0.4757271762597665,-0.5222132011701796,-0.12529404250140447,-0.24597333652019357,down,0.9731841172472125
MT-ND4L,-0.6503037554995221,-0.7515741314288599,-0.38001403105653614,-0.7500576885276258,down,0.9809488732077347
MT-ATP8,-0.5873602311794811,-0.7126755219981127,-0.3020864851222186,-0.6091078348284461,down,1.0117360200441277
MIR924HG,-0.6667115408160009,-0.6491343544718355,-0.04756628541621683,-0.09724316173230285,down,1.0316574358200419
TUBB,-0.559335140092995,-0.5359671912291923,-0.03640458580651646,-0.07516716099999661,down,1.0459823204662124
ATAD2,-0.6766486922228426,-0.6569521601378017,-0.037428451318542125,-0.0797126397105347,down,1.0906731497565432
RANBP17,-0.5410089423078697,-0.50787564748316,-0.02524190089750685,-0.05390873804297472,down,1.0946985779472653
AL033504.1,-0.49620379780592344,-0.49840441766818777,-0.030642221889525097,-0.06602389156872986,down,1.1074672642369825
PRIM2,-0.5766531742678351,-0.5491888334199607,-0.03334382217173542,-0.07257410736676313,down,1.1220354337623195
MT-ND3,-0.6469451867083881,-0.6589703831800005,-0.4990934256793147,-1.1205376798631381,down,1.166809357440649
TOX,-0.6139882119181397,-0.6098133610441206,-0.0427464725569042,-0.10179490996832906,down,1.2517881457221727
TRIO,-0.45253728820648736,-0.45008461374874487,-0.028003797510914866,-0.06679370500552255,down,1.2540896618620647
CYBRD1,-0.47741921550772864,-0.45251234654246264,-0.02156604996971606,-0.05313062030410983,down,1.3007815993176826
