,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
MIR99AHG,0.38211695399453866,0.40776732118371556,0.06428094017672117,0.01764985807778009,up,-1.8647344472519225
FRMD6,0.3585894480254689,0.3365318116559266,0.07592376403035503,-0.030936023498066467,up,-1.295263752462966
TRAM2,0.5215277878250648,0.5292283611379771,0.05615886603773164,-0.024843151778440747,up,-1.1766655892802849
MYL12A,0.39576657233074225,0.3601580261856796,0.06572049529702152,0.029253644340342576,up,-1.1677269901191834
FUT8,0.440987872134845,0.4233955480493102,0.07550400349169399,0.03695347708799353,up,-1.0308430240867186
COL4A4,0.31720712653904864,0.3119917591740471,0.07787922307702468,0.04152581834737408,up,-0.9072298922151372
CAMK2A,0.6715624894177464,0.6592413478318166,0.06887897203001116,0.040223890531473405,up,-0.7760109830810875
USP40,0.3748387303058174,0.3568806989834179,0.05161282327416388,-0.03160607351496883,up,-0.7075277321573259
TENM3,0.7040080460768158,0.7011808852272258,0.08015939338523335,0.0660898162454493,up,-0.2784436062950941
CFAP299,0.6391578772311213,0.6359892525472743,0.09002918816374707,0.08095188811258917,up,-0.15332808007019041
ENAH,0.3192332263294266,0.30391883640609474,0.09758448073911036,-0.08993444946340323,up,-0.11777788120330118
PCNX4,0.3787839205072204,0.3810184117336479,0.053826517235666275,0.05168164063744253,up,-0.05866521173335842
FRY,0.5539937383330356,0.5744773850087574,0.09278764680027732,0.09957602226416787,up,0.10186563938159494
ADAM12,0.6955280061268551,0.7183636031965565,0.08596377654318187,0.09503377466935953,up,0.1447114689772664
COL4A1,0.37312914197989927,0.3485731951735075,0.056796741635739646,0.06365974299556451,up,0.16457316626225257
LINGO2,0.43187657273566665,0.41325375913159207,0.04525522768483595,0.05201849101380679,up,0.20094009364536364
NECTIN3,0.5455702839556648,0.5518551487926624,0.051424886592511494,0.06057682071553164,up,0.23629915524048564
NUDT4,0.442791373676112,0.40455863367132394,0.053209039498004165,-0.06453275751722133,up,0.2783603129117935
TTYH3,0.7025681034743954,0.7015838195793732,0.04250164903777825,0.05577589839744475,up,0.3921230285204836
CAMKMT,0.5620070434850889,0.5682509121100038,0.04224193066619327,0.05636203153418023,up,0.4160478390877994
ITGB1,0.5331062555865722,0.5924052134522632,0.06060803718033769,0.0835367379621995,up,0.46290168765104983
STARD4-AS1,0.5446931418530887,0.5674415488935715,0.04786138042084772,0.06604586494358693,up,0.4646062310308419
CNN3,0.5276152864674661,0.5010261347117538,0.03716838395690322,-0.05242462834439378,up,0.4961687659465986
MYL12B,0.33319621651269227,0.30141790922841905,0.05924464152845112,0.08407679921485903,up,0.5050230740962744
FZD2,0.7027774789077639,0.6857386633353706,0.04138033937872493,0.058984720178673684,up,0.5113957994551415
WASHC4,0.5633294595525191,0.5919125012345031,0.038398605432022136,0.05755579039811403,up,0.583907162118602
PPP4R1,0.39445037929412363,0.3695561588652336,0.0398082815670043,0.060566088195663566,up,0.6054416396123694
TGIF1,0.40948746379859213,0.3879100212110925,0.04753915457882903,-0.0732092728664257,up,0.6229101483029388
PPP1R13L,0.6042377472437861,0.6071862897662486,0.03560422256555217,0.05701703426857388,up,0.6793446485770882
COL4A2,0.33096446930467965,0.34627622406322944,0.05243832501667351,0.08419735458244132,up,0.6831533018345044
RNF217,0.3664878007168202,0.35302007574751526,0.039931372489947096,0.06442214299773685,up,0.6900339926505746
BCKDHB,0.5831400354839541,0.594166863604425,0.03758630995102258,0.060906587460155516,up,0.6963909885667128
ENOSF1,0.4573146899078348,0.4560501049803471,0.037299705288145815,0.06046137914406591,up,0.6968496561664292
H1FX,0.4149160322631273,0.4158953811354451,0.03788606653972661,0.0619708897316802,up,0.7099233194783159
FHOD3,0.43006024184804925,0.45006421462152474,0.03923894353766497,0.06866716904545976,up,0.8073342873603767
PSMB7,0.4076670162855859,0.40714000468445505,0.030525607554297927,0.05406033398606337,up,0.8245504152995324
MIER1,0.3744786327688906,0.36859372666204876,0.03160678484517824,0.05605096891158017,up,0.8265050254228478
NUFIP2,0.43323960237147896,0.42097596246744967,0.032903396624211996,0.058378230099658424,up,0.8271939507972308
MT2A,0.4580457300901001,0.40830760581732145,0.06966175654820199,-0.12365273007650111,up,0.82785533612435
GABPB1-AS1,0.3890971977222242,0.35709143936987964,0.05012530773421534,-0.08923245761429065,up,0.8320293860094508
TNFRSF14,0.47797436480168715,0.44676775640946553,0.03128143641803026,-0.05605109960442941,up,0.8414359143989463
CCDC88A,0.3972058321838068,0.41300202730590463,0.04349991745431754,0.08001213804694972,up,0.8792062138496194
PLK2,0.7015795535448799,0.6837799848534427,0.03844371192468123,0.07112874768580602,up,0.8876851212810599
ITGA3,0.6460683584075994,0.644411284133842,0.03742484202183172,0.07091814544657613,up,0.9221585829852427
HSP90AB1,0.48968028831999083,0.501603590937156,0.03538536041434322,0.06707522385497812,up,0.9226273504925614
RPL15,0.49402759572333643,0.4664376339544186,0.03163582273976091,0.06018303471954298,up,0.9277977402495519
PDXK,0.6375361468443762,0.6171551990832786,0.029998114632979123,0.057197951667848655,up,0.9310916522817348
HEG1,0.3972833819264951,0.3747693795585585,0.04485514225371668,-0.0874348454055362,up,0.9629349644019718
MTDH,0.5346048392153601,0.5481108709864757,0.03218077399292012,0.06304535232858006,up,0.9701909944008382
UTP20,0.49214828503193697,0.46531556469628926,0.03325854103223701,-0.06522442065892235,up,0.9716873420448202
HEBP2,0.4520166322060045,0.41651804453120295,0.03357274931296442,-0.06645902961641438,up,0.9851745421499576
BAZ2B,0.3960132274973624,0.3627798929190634,0.046538995095137835,-0.09212860377124352,up,0.9852090895207564
PODXL,0.35029859003246705,0.3217433101314054,0.034619331584027295,0.06912135305380551,up,0.9975535885980767
