,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
SAMD5,-0.5657976770758097,-0.563584765870888,-0.029460539848500257,-0.118861849955828,down,2.01242996788313
FABP5,-0.6710429781495996,-0.6905783187607305,-0.03161496602405652,-0.12845300874743368,down,2.0225611086062725
YWHAZ,-0.4897886569685106,-0.4841988359653953,-0.030332211822066114,-0.12408047879842306,down,2.0323535504315107
DYM,-0.576196577152799,-0.5638744300402143,-0.02467725799013186,-0.10149031944734116,down,2.0400881202891896
ANXA2,-0.6014701280870709,-0.6084309339757287,-0.02536511753417991,-0.10507751321406608,down,2.050536212268289
PTK2,-0.5580545430331864,-0.5496787435245857,-0.03204818318526597,-0.13415551343951806,down,2.0655918690491486
ZNF804A,-0.6539597854540441,-0.7239636829713745,-0.031170269883604464,-0.13313045275533084,down,2.094598064921434
LGALS3BP,-0.5863005556939392,-0.6086112096262708,-0.05754633324366683,-0.24641141591180155,down,2.0982731854375927
CTTNBP2,-0.6192667991790773,-0.6549306944176883,-0.03142255499762189,-0.13904816535640926,down,2.1457123120446213
MT-ATP6,-0.8388980660489624,-0.8300595538642705,-0.6983913892516006,-3.115807024143495,down,2.1574982069917206
NKAIN2,-0.395175971164949,-0.3997273885096318,-0.030475715206836194,-0.13766201161438346,down,2.1753985132436147
STXBP6,-0.6762316930668292,-0.6837677170896088,-0.06701918084033101,-0.3081172961589884,down,2.200833712270144
IL1RAPL1,-0.701956012010724,-0.6853478287229811,-0.026878580153758873,-0.12380392284403277,down,2.203528192760581
PRDX1,-0.4616848498003038,-0.46742181414616807,-0.03248357671220609,-0.15567065722292486,down,2.2607146334938775
PCNA,-0.6898959189377998,-0.6861562130692038,-0.024253112584977237,-0.12252034761900299,down,2.33677954908293
FLNC,-0.749698007760848,-0.7404998056471791,-0.032469361679008296,-0.16466844114926923,down,2.3424131599745124
AZIN1,-0.5134318461590517,-0.49315830522731785,-0.022279463263004107,-0.11618426629414923,down,2.3826283297190893
MMS22L,-0.5319723070917909,-0.5089912920538104,-0.01932457350642002,-0.10163353583561642,down,2.3948680448467816
MT-CO3,-0.8985406580763697,-0.856234309148144,-0.788418572130516,-4.2809328062241505,down,2.4408915248057177
AC073365.1,-0.45416746247942136,-0.43839219410440844,-0.0265765575585061,-0.14491244954388025,down,2.446955392672688
CLSTN2,-0.6732575782733464,-0.6754403562307526,-0.07867049747952108,-0.4394936493368707,down,2.481947706892777
DPYD,-0.6918030564007461,-0.6817147665144397,-0.04356504835782272,-0.25103695110603563,down,2.526656686023978
LAMA3,-0.5016407047627255,-0.496051662653048,-0.04399267343035564,-0.2557784027252144,down,2.5395592704214622
KAZN,-0.4864505111784578,-0.5039760181570928,-0.024832771135561697,-0.14534085702745175,down,2.5491231499007507
FGF2,-0.30249623111092827,-0.30860852866551813,0.045580036087781724,-0.2687229052552287,down,2.559645326275443
ASPH,-0.332325152180848,-0.3171524801669522,-0.0372065119809091,-0.22656445047380622,down,2.6062944573056988
AFDN,-0.4090227036162292,-0.4010985763622897,-0.026542685876786404,-0.16169044384236766,down,2.60684814506576
AC100822.1,-0.7699775634745072,-0.7435646861151453,-0.02941295126756936,-0.1824024703039865,down,2.6326018130205684
PPM1L,-0.5589726461666288,-0.5909264263429086,-0.037502737092064,-0.24005292324090155,down,2.6782847065785225
HSPA5,-0.6007800883335656,-0.5788704117718261,-0.019140631832284333,-0.1258755164696406,down,2.7172873385614302
PTPRG,-0.5251742685398471,-0.5414880711347249,-0.021440400648178055,-0.14129855286549864,down,2.720342919902688
TMED7,-0.3159407870676668,-0.3067522732110604,0.017227540957764124,-0.11433484977019231,down,2.730476517940275
PRSS12,-0.5916163643211293,-0.6249063515819293,-0.02603742684175686,-0.1764883490077917,down,2.7609141604012586
LINC01320,-0.5555824300968399,-0.6222295077519905,-0.076711434137965,-0.5212967485709287,down,2.764591323410587
ANKRD30B,-0.30609074078628234,-0.33641997981017246,0.026166371020944004,-0.17894519158813418,down,2.7737320198898674
ABCB5,-0.5235489523467944,-0.5386227238246472,-0.09917524667790201,-0.6895785139964938,down,2.797662837499174
COBLL1,-0.8038003273050279,-0.7927724789665433,-0.07781089907404362,-0.543949181723078,down,2.805427719799353
NT5C3A,-0.6033209994397855,-0.6066975184802549,-0.015259492150163641,-0.10688903598323475,down,2.808335024030278
TMEM178B,-0.7506838781343356,-0.7626786657589556,-0.05526965849545437,-0.3935565711228837,down,2.832011424940615
MAL2,-0.5236608229332459,-0.531266713416516,-0.026457056558318967,-0.18931549524570268,down,2.839068028028857
CALM3,-0.46968561486266575,-0.48130559016034524,-0.01630451345273388,-0.11727944857505378,down,2.846606930331496
EMP2,-0.48499003154436027,-0.4911325380731966,-0.015114698227498021,-0.10923345072604788,down,2.8533906423799547
RUNX1,-0.382916265171871,-0.42232224048587724,0.05388562896119525,-0.3983164978338886,down,2.8859427662510577
ADAMTS16,-0.6597090970825971,-0.6944932272115323,-0.03574421581043357,-0.2679961342150489,down,2.906430483741279
TSPAN9,-0.5114100610235922,-0.537693012732962,-0.03286723119139147,-0.24944998037357957,down,2.924028725023935
MSI2,-0.3960484770488824,-0.40033155986909613,-0.01855730370873659,-0.1412683329088625,down,2.9283790896747535
RIMS1,-0.3494179179852381,-0.3761228552938252,0.038553981181375784,-0.29387968324519254,down,2.9302738754689814
FAM155A,-0.5616613704861142,-0.5457679520043344,-0.019340306830942018,-0.1478016816159202,down,2.933980095622537
HSD17B2,-0.48086256533794935,-0.4941103500196099,-0.07312099259452035,-0.5718875235765984,down,2.9673738719598632
EZR,-0.4405154562847286,-0.43241334964013006,0.03350124541562921,-0.26250116329735734,down,2.9700371820626112
