,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
STK33,0.49446273678368285,0.5327278840418882,0.040970305898377704,0.16529710538599582,up,2.0124108913494463
BMP2K,0.4005582852305674,0.42068957794739154,0.02907878548456921,0.11786343093434327,up,2.019077248419849
SLC20A2,0.3002392258249271,0.32888180533552247,0.03435758070791808,0.14182271527972104,up,2.0453882651564115
MYH9,0.7731862218689856,0.7658310824297864,0.05495129581918875,0.22698598085530267,up,2.046377789091308
ZRANB2-AS2,0.7742122868473588,0.7560454907864479,0.032290380103176565,0.1353200523581362,up,2.0671993117396372
EVC2,0.5105404225794592,0.4967863657921775,0.02389128621619618,0.1009367502051512,up,2.078895112759032
PTPRB,0.6050056490246563,0.6034302217954525,0.027154917369866905,0.11713604508699776,up,2.1088997116881627
KLF7,0.5848258535048985,0.6373165425580711,0.07372978345993413,0.31822125463469364,up,2.1097107743997467
NRAS,0.47666774906436626,0.4607440811597037,0.024166688311524586,0.1048026919170204,up,2.1165840821304127
NAPG,0.5860867187026223,0.6073017805646445,0.024072755872394245,0.10451922610214981,up,2.1182951300739616
SH3BGRL3,0.5190619279070573,0.5315184879800785,0.029640210710635762,0.13080467986426494,up,2.1417865489463983
MACROD2,0.6635375501969214,0.6603878118236337,0.026782030391549277,0.11832042807296884,up,2.14336193400312
CADM1,0.4983972980918544,0.5497100498950699,0.0577393506214876,0.256360388365982,up,2.1505465733560767
PRMT2,0.6025764294100677,0.6054217374385515,0.02653835678713651,0.1180332111883588,up,2.153041900853431
SPECC1,0.6889095596876774,0.7216473108973279,0.04896533433915122,0.2187183909970131,up,2.1592418943603726
ITPR2,0.40057071131336514,0.4028452302268798,0.031932046703271426,0.14296878139991043,up,2.162623223770456
LTBP3,0.6003118031835677,0.6246739760767858,0.04274722118917759,0.1937534595677194,up,2.180319525846206
IPO7,0.5236933915986254,0.5238826099658604,0.02614403298936761,0.12074551999102,up,2.2074160477356553
VRK2,0.4410998994325052,0.4384384823777057,0.025375360702707968,0.1178816475926582,up,2.215838894776303
SEMA3C,0.6958164152806882,0.733060135564609,0.055667262671084364,0.2587461363584177,up,2.2166362718538957
MICAL2,0.3392108076257539,0.32639957194668984,0.03146279454216964,0.14754090145251045,up,2.2293962329430896
TPM2,0.596999070449841,0.6749084529777333,0.05019034493270304,0.23697660445178545,up,2.239262869732269
LMO4,0.5440996190525212,0.5716700846541543,0.031026917013881224,0.14768341618757694,up,2.250915574787268
CAP1,0.5728384104799753,0.5630941504083595,0.030827693416633155,0.14928505990368673,up,2.2757709376205617
ACTG1,0.6561271934369112,0.6657213746130716,0.034670333463806144,0.1679252302991055,up,2.2760453897304807
SEH1L,0.47758326315412153,0.4859666611916185,0.024627947662556698,0.12106455530953733,up,2.297408228753773
PPIP5K2,0.4292748755800011,0.42863027107989987,0.02069588212258848,0.10409019465631543,up,2.3304185253870218
