,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
UCHL1,-0.6706031379857589,-0.6699174023785025,-0.05105989765692002,-0.05958134495034453,down,0.22267004436111773
MT-ATP8,-0.5050276475247006,-0.6500583150331475,-0.22328714622925358,-0.3119095096186715,down,0.48222733561104625
SLC7A8,-0.37401334417473775,-0.37227989420965574,-0.03711668995438045,-0.06023045395833598,down,0.6984250751216811
MT-ND4L,-0.5459371844954656,-0.6750997948363395,-0.2818318289370127,-0.5585732101431231,down,0.9869118289108065
MT-ND3,-0.4954509062701706,-0.5106667241209544,-0.38200642386152905,-0.7883421988520252,down,1.0452251030638118
MEF2A,-0.5519624093376319,-0.5568679895696113,-0.033194116031828334,-0.07055640954487445,down,1.0878496142781293
COX7C,-0.31800463653055044,-0.3531348684673437,-0.036981415721583186,-0.08809483114882807,down,1.252256918335832
ZFPM2-AS1,-0.5015814523690398,-0.5436057756745996,-0.11323155750339518,-0.2725787084165753,down,1.2673967835575346
TSPAN9,-0.42211923776174193,-0.4137397821977643,-0.031048264614349806,-0.0757941876167375,down,1.2875745836385573
MT-CO2,-0.7000745546519395,-0.7225513426223599,-0.5014730051019446,-1.24758562125087,down,1.3148948844621975
ULK4,-0.5528956487633852,-0.5455980820640459,-0.022863225455108438,-0.06280820826850776,down,1.4579241663965918
AL590652.1,-0.4854536852016437,-0.4990356444900247,-0.017114249946047183,-0.050432720946025286,down,1.559161997901184
SCIN,-0.8241660888181992,-0.8096253625098333,-0.025239044864211645,-0.07574020112848481,down,1.5854019377016095
ZMAT3,-0.4402443488320483,-0.4096160828749582,-0.018159726065854132,-0.05457893250998861,down,1.587601737565564
MSI2,-0.38302464648284845,-0.38434682428479344,-0.026578139050827208,-0.08016130728915095,down,1.5926659430566645
RORA,-0.6020875854177388,-0.5985816391663786,-0.0360243369864806,-0.1091877980411257,down,1.5997678576241279
CFH,-0.550643116599071,-0.5897409332763589,-0.016566650501377053,-0.05063093546398664,down,1.611737196597684
GPC1,-0.37255373340217723,-0.3689597269666516,-0.028595651923724312,-0.08895005906244718,down,1.6371997669556229
SQSTM1,-0.47692549225569925,-0.48109298881407997,-0.05054454549001582,-0.16036966695851343,down,1.6657739724169258
SLC35F6,-0.4824143498544883,-0.47272229100697116,-0.015624837493950432,-0.050154419058391,down,1.6825356358225643
HSPB1,-0.5148979986743417,-0.5330432467017456,-0.022963081799592715,-0.07373890824984823,down,1.6831097822392886
PARD3B,-0.45354100007552245,-0.4434814946120633,-0.03974470545446645,-0.12893824823603683,down,1.6978456968402629
RPL4,-0.40335274544453364,-0.45493437690133454,-0.023883782350087715,-0.07770631974036675,down,1.7020006088767272
RPL41,-0.3611900086027584,-0.4624804063625258,-0.03354768423254763,-0.1094547546893869,down,1.7060495392292758
ZFPM2,-0.4933106476642525,-0.565039976827261,-0.024081920750606743,-0.08167031464306385,down,1.7618613212002128
AL357507.1,-0.8488185566289419,-0.8055794810578357,-0.2081309576018203,-0.7209433804370894,down,1.7923943924079575
EYA4,-0.5969061496317264,-0.62259673376611,-0.05427914509746843,-0.19119735537933263,down,1.8165926648163955
NFAT5,-0.38188576321842777,-0.36802193942838274,-0.017822805444539465,-0.06350703968351701,down,1.833192076003637
RPS25,-0.2519448651864617,-0.32571767850268646,-0.02566000399014064,-0.0916008026320744,down,1.8358388449112986
RPL37,-0.3883076832653295,-0.48424379805980083,-0.03979013913569467,-0.1445919059469149,down,1.8615039456147797
AC073365.1,-0.47076420409051734,-0.46853120890939093,-0.03778704573988976,-0.13841954766012585,down,1.8730840597019482
ATP6V1A,-0.3673851531889307,-0.3620982089589624,-0.022246610041565643,-0.08253823474996849,down,1.8914770700121755
CTSK,-0.310296558166693,-0.3289509589516357,-0.027907010755334413,-0.10752826921883474,down,1.9460164904235369
RPS27,-0.3291889694059632,-0.4066309576673033,-0.026765699864479346,-0.10418613165793933,down,1.9607059699368778
MT-ATP6,-0.7389486923821738,-0.7618535432216744,-0.5755812053535309,-2.2587444394965446,down,1.9724296603605005
RPS29,-0.27776855688593427,-0.39620830739889257,-0.03030511408373805,-0.11920063564109662,down,1.9757587503355714
