,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
EHBP1,0.4793004145869734,0.517659021731942,0.08068262091668672,0.04928241154578133,up,-0.7111850961831051
LRBA,0.45914043319210873,0.5013543464263663,0.05054893636453138,0.031877455422815185,up,-0.665144263059341
NOTCH2,0.2654800989749962,0.31353580208246445,0.04852430388471485,0.05297595784480048,up,0.1266302512230136
COL8A1,0.5048329832498595,0.5223998536939767,0.05393373561219912,0.0588876730141474,up,0.12677770289814877
CHRM3,0.3817701470597064,0.37527921481798104,0.045425646684232567,-0.053178205740829466,up,0.22732804780461516
NREP,0.5307652714432615,0.6009156662315097,0.08659500431241207,0.10254523893215405,up,0.24390480753032867
NECTIN3,0.46077026055007575,0.48655534298591785,0.048141536212871476,0.059647446514378845,up,0.30917819855062156
NFIB,0.35897691951301963,0.41563423239213515,0.06742194413446806,0.09063259470638607,up,0.4268117595496992
DENND1B,0.466996524476171,0.5487636802044528,0.045337243527608276,0.06412787199338092,up,0.500254854957795
MTCL1,0.46999391217777425,0.4863687755401695,0.05191766016424635,0.07349638551073277,up,0.5014479360613373
PIK3R1,0.3337800922802636,0.3307465942913318,0.03564128286036151,-0.05047311473681737,up,0.5019658535887206
PPP1CB,0.3816330210886649,0.44145122482649163,0.06679068593331805,0.09699654794958977,up,0.5382864729177153
FRY,0.5647881235179347,0.6279085942321999,0.07144961593756037,0.10447523158534427,up,0.5481627950686103
APOLD1,0.35863040590812745,0.4046205959278453,0.044230583039313924,0.06514263112850728,up,0.5585577320544768
THSD4,0.4672984034637216,0.45724902798477346,0.05028763619653971,0.0754476819786069,up,0.5852728365251387
PCED1B,0.4015567070394698,0.43051559400814826,0.079092430751055,0.11920437599037777,up,0.5918256594628981
CDH2,0.34973957709059433,0.38437249741579393,0.07649969106467606,0.11573945569741342,up,0.5973549377227706
CCNH,0.43887857075577863,0.4236792803141856,0.03360210771101164,0.051319244808127204,up,0.6109482108096684
MDFIC,0.31850389757104564,0.321632185900417,0.03560678141865933,0.0554950652949387,up,0.6402074575716562
RO60,0.32826858343121473,0.33110163276354226,0.03395480782926067,0.05446446188785392,up,0.6816993097527082
EGFR,0.3957719420427948,0.42623447811304327,0.04112361483327547,0.06659550074624258,up,0.6954576254057907
RALGPS2,0.5371526271511685,0.552251314040789,0.048134353612613104,0.07798924153670188,up,0.6962082039576638
CMSS1,0.2971251231633462,0.3046204419062155,0.047409986272909314,0.07767820216051069,up,0.7123188350383205
MBNL1,0.3401852757731377,0.3473263180311309,0.04886876726244229,0.08189133954221203,up,0.7447981746441983
SKIL,0.3258499206965213,0.39029870257977883,0.04372626643723951,0.07371741061434872,up,0.7535052266794483
COL4A4,0.3938141752580587,0.4385163745329133,0.06563086581053619,0.1107995200648378,up,0.7555052617238962
MLLT10,0.49822221653410725,0.5223852029473123,0.04853760081545169,0.08406619103309754,up,0.7924229086096344
HIF1A,0.34781455349384016,0.39314679290363913,0.042209330077081296,0.07548457430228628,up,0.8386199198772578
ITGB1,0.45648934531477825,0.5429815600102706,0.04586902432897527,0.08214841719420653,up,0.840712557657517
C2orf27A,0.41756056418612864,0.46696320235038685,0.032763306963183074,0.05932993141870683,up,0.8566791324439935
DSC3,0.3984913725147017,0.411717880443063,0.03371239598228019,0.06118771664879004,up,0.8599628977971355
DLEU1,0.35671905397665915,0.36589014091559985,0.03827465592672115,0.0699221271419881,up,0.86935966602361
LRMDA,0.43322202593541803,0.45436225545718983,0.04358855540848265,0.0809510834790666,up,0.8931009988580805
CCDC88A,0.34942030726062234,0.37921322626225096,0.03322604664352524,0.061808758981902884,up,0.895496652281967
FAT3,0.3374606902920381,0.3503271791207506,0.034980079019536335,0.06705344990525636,up,0.9387780125200174
BMP2K,0.3580961515613481,0.36671135438491564,0.0327723143615387,0.06334325683887068,up,0.9507134877184638
SNX14,0.4337494832176304,0.44857842507984513,0.028261372009387456,0.05475794192744208,up,0.9542367179242652
LARS,0.5479650041199887,0.5554814211387136,0.03760038221220988,0.07321177161672637,up,0.9613283089074107
FLNA,0.5969392172672532,0.5853213848916854,0.0406714095181919,0.07963193532917678,up,0.9693321304298423
