,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
PABPC1,-0.680381652391389,-0.6797479874005871,-0.053446473964282405,-0.21791529958666123,down,2.027600813028646
UBC,-0.5971514184878889,-0.6053193664874982,-0.03854648649705034,-0.15771906012841697,down,2.0326857484067773
FABP5,-0.6326277188855093,-0.6528234229656581,-0.02668710889588631,-0.11442828102045555,down,2.100228732098128
DBI,-0.420097225804706,-0.43448698615758313,-0.03094238288225796,-0.13388845974941688,down,2.113375407220637
ANXA2,-0.565701352387522,-0.5928585711595645,-0.028839404865088982,-0.12753296534097697,down,2.144756911821798
RPL39,-0.28734208113711457,-0.3454224560559603,-0.026760516599469802,-0.11928217642164736,down,2.156200614451126
RPL37A,-0.31379029464945296,-0.41895320017060206,-0.030253961520078334,-0.13792938111110972,down,2.1887338366287907
MT-CO3,-0.8493611859718956,-0.8285718162086405,-0.6746339321400326,-3.1729832706125243,down,2.233663126050795
MGAT4B,-0.4121838038857363,-0.4188601593258859,-0.021724904071634247,-0.10438220477482449,down,2.2644540683794343
LINC01320,-0.5872988863619856,-0.6494532020527337,-0.0854694181967633,-0.4114821223823886,down,2.2673495445129257
RPL27A,-0.3391259970273895,-0.41427237116707283,-0.02275385571986255,-0.1125660414009662,down,2.3065887241472707
RPL7,-0.3542404690966279,-0.4102722253470599,-0.02146732694921866,-0.10730160163135544,down,2.3214571433719096
LGALS3BP,-0.5432128121441286,-0.532336953336874,-0.03028284798591809,-0.1548855199944563,down,2.354629478361737
NRXN3,-0.5401706894799071,-0.5441260749273032,-0.03068374334101001,-0.16424821173986875,down,2.42033125929577
CBLB,-0.36912077808088084,-0.36786729067417023,-0.024492498053424062,-0.1368023305399305,down,2.481680977197492
RPL8,-0.5570038487661635,-0.5891198633139267,-0.04139113363205026,-0.2317855954015468,down,2.4853972439268452
RPS15A,-0.4094120085910935,-0.4718791207088289,-0.03070103631230009,-0.17275939530135154,down,2.4924049122477063
ZMYND8,-0.6583648743809958,-0.6777259838628823,-0.029539357175366182,-0.16676992637646182,down,2.49714881485927
RPS24,-0.5136499367860395,-0.5302141742178392,-0.02585649696082108,-0.14853582705168256,down,2.5222122159633718
CD151,-0.4725158828229564,-0.5018984863208884,-0.01949159583001954,-0.11418939526973275,down,2.5505045564095314
SILC1,-0.5455512642001895,-0.5518483928293426,-0.02631902016625135,-0.15511458708985304,down,2.559156679926122
IL1RAPL1,-0.6603666234075022,-0.6548393667423639,-0.02174728417347847,-0.1325918609697246,down,2.6080850677883007
TXN,-0.4430850250606164,-0.4813761277698789,-0.01951178292528904,-0.11933854579051434,down,2.6126425840222747
ABCB5,-0.5134084153257323,-0.5170453807155082,-0.09432173741114178,-0.5785966296607916,down,2.616895721368663
GNS,-0.3056223690609292,-0.33120825482920074,-0.02020246983821778,-0.12394444892330908,down,2.617090074658338
FOXP2,-0.5685241280100558,-0.5835732303004245,-0.02849638898028401,-0.17486203324505975,down,2.6173660596354704
RPL29,-0.30974717880148134,-0.3923639681333501,-0.024427334000819985,-0.1510609524049206,down,2.6285624663127947
RPL18A,-0.413850559236409,-0.4893668006511175,-0.02395951103764047,-0.15343765207954713,down,2.6789821781329373
RPL35,-0.5282715244296735,-0.5609146956284927,-0.02426758291009342,-0.155562222945654,down,2.6803894297534283
SLC44A5,-0.6251760589539365,-0.633021000248766,-0.03072694881036151,-0.19897610447503286,down,2.6950187650422497
RPL7A,-0.32586806205158825,-0.38187697512758234,-0.022879602924203053,-0.14856023893685288,down,2.698914121290737
HSBP1,-0.5087334203090351,-0.5129977634719003,-0.015813560745273545,-0.10423610980789498,down,2.7206209856941594
LINC01111,-0.7302902238032936,-0.7264119901412133,-0.03507466256702576,-0.23521933855633578,down,2.7455055465206244
HDAC9,-0.5220936331877687,-0.5038168402694194,-0.015591829145209726,-0.10506372347958488,down,2.7524025280157547
ZNF804A,-0.6823463368091841,-0.6960252259810246,-0.019847138967876172,-0.13376603018474198,down,2.7527088327146156
TUBA1A,-0.6390547363342077,-0.6424473593533983,-0.020874184489433557,-0.14110283171138793,down,2.7569552001070807
CCDC148,-0.5109162769188567,-0.5238674805822463,-0.01665460495327383,-0.11353720398790021,down,2.7691720799361113
YWHAZ,-0.7411633961154396,-0.73543617240396,-0.03780449501228748,-0.2593592510284197,down,2.778322141387917
RPS18,-0.26209523142725644,-0.35202312268495334,-0.015798064478163183,-0.10875450902066405,down,2.7832554965639904
HSD17B2,-0.4290992686537747,-0.4303380401594999,-0.06570803977474213,-0.4538361658441653,down,2.7880297719201104
RPL32,-0.3392320426546275,-0.4304861908387308,-0.023909567214181908,-0.16556964272182254,down,2.7917782569633225
RPS15,-0.3143030052910495,-0.3796352309733573,-0.01900682296562056,-0.1324769419871749,down,2.801151968645141
GOT1,-0.5976044620477564,-0.5795564881239319,-0.01473526979021046,-0.10395743230640372,down,2.818647525227377
SAMD5,-0.3718943255101536,-0.36432176964191426,-0.016026399176862532,-0.11615945832337615,down,2.857584409630704
EPB41L5,-0.47343651518371466,-0.47356712155436004,-0.01497255806272382,-0.10941501410718715,down,2.869418088558965
GPX4,-0.4565474276328431,-0.4640696237491808,-0.02430983115703892,-0.1779503879881013,down,2.8718633000490876
RPL31,-0.2909999831613774,-0.3482385976637863,-0.020018408912440094,-0.14809188130155707,down,2.8870933346337226
MT-CO1,-0.7598426262879113,-0.747439596123211,-0.32329157529435776,-2.3928844989169997,down,2.8878429440973377
FTL,-0.41334094435346114,-0.4989176742377309,-0.03811176159005543,-0.28354507709666454,down,2.8952699098726096
CALM3,-0.6245506658773058,-0.6216209798706377,-0.013708538354561177,-0.10205696902820957,down,2.896228041166311
CLSTN2,-0.3910783106489859,-0.37827041548918283,-0.025434781358479902,-0.19038425636740605,down,2.904039583653057
RPL24,-0.3274212530372306,-0.3855682653510721,-0.02144913213629099,-0.16132199134473404,down,2.910951939032802
IRS2,-0.48976400835163303,-0.48885774982413216,-0.013948966254616823,-0.10500709377604868,down,2.912256678454327
SOX5,-0.2786247673599751,-0.30090837862053726,-0.028295941900573666,-0.21571370559452613,down,2.9304507755259945
NEBL,-0.6210339703831179,-0.6280737909892503,-0.05830186216700594,-0.4471448607682884,down,2.9391284255288666
RPL34,-0.36605277953031373,-0.43304881731397543,-0.022889242193846266,-0.17641704133168695,down,2.9462483226980254
BAG2,-0.576758325284593,-0.5761444568394342,-0.014597765308058975,-0.11369255434725979,down,2.9613183393088383
LINC00571,-0.4721018766247384,-0.4798762839904173,-0.014872508556204053,-0.11700241675803867,down,2.9758184164960415
RPL36A,-0.3559930705841192,-0.4584946896870884,-0.02021517220670593,-0.15995286460552152,down,2.984136431356906
POMP,-0.5816845534568644,-0.5853104130316216,-0.0158530523300362,-0.12626677640973752,down,2.9936425367755826
AKAP6,-0.5318405768931985,-0.534485354160833,-0.013119694986291742,-0.10487905449644806,down,2.998920499665347
KLF6,-0.29488826196512374,-0.3265643397077583,0.02609815806800929,-0.2098912331697031,down,3.0076220144746064
RPS28,-0.38672183556484263,-0.4831166523360684,-0.02274338303408943,-0.18295970138585865,down,3.0080071428048347
RPL26,-0.38892522250878325,-0.4631996984526155,-0.017626695009623702,-0.14320736442175883,down,3.0222717839018323
RPL21,-0.4900543621429737,-0.5013521613922097,-0.019729396469750828,-0.1606557091239506,down,3.0255535206720494
GPRC5A,-0.4026882616430699,-0.3992218378646449,-0.017085229946880286,-0.13924997565587732,down,3.026855505378472
RPLP1,-0.44169165591489845,-0.5321241044467723,-0.024761024389410077,-0.2040544578702817,down,3.042811322040735
PPM1L,-0.38074954509131653,-0.4101948518007119,-0.01960044792237062,-0.16293375006276456,down,3.0553269451172427
RPL23,-0.4594574503254432,-0.5025831241989587,-0.0213538276480378,-0.177761020245592,down,3.0573724026028977
RPL12,-0.43487317797746566,-0.5019811598024961,-0.027014645770293937,-0.22544113591018947,down,3.0609371161030587
RPL28,-0.32961001791925193,-0.4240566646274815,-0.01638948770721983,-0.1370986269806108,down,3.0643714574862986
NQO1,-0.7226090712701485,-0.724042043595717,-0.04063840542369152,-0.34133834896427434,down,3.0702868090104296
RPL26L1,-0.5999000602815129,-0.6145221110483055,-0.013560873325176559,-0.11653664151802515,down,3.103261642549469
ATP6V0C,-0.41290734509736693,-0.41876091406428434,-0.011907273180570301,-0.10254136285111333,down,3.1062910050201693
FTH1,-0.5357792321330713,-0.5921861176729578,-0.04355704667073095,-0.38021271904188464,down,3.1258287520476693
TFRC,-0.5912066195116951,-0.6239491542829141,-0.026336994070535313,-0.23036529949276202,down,3.1287608158668387
RPL17,-0.4641880251103379,-0.536057468009872,-0.021716678620032546,-0.1943582972985273,down,3.1618433214251263
TMA7,-0.6026380280865633,-0.6040212743826556,-0.018017796159998267,-0.16147840471241443,down,3.1638467748875243
ETF1,-0.2968109460943784,-0.30519120762734386,0.015270878831249392,-0.13687473040617643,down,3.164001127131337
CYSTM1,-0.5287717303120811,-0.5221964860421847,-0.013366635555484568,-0.1205770608866143,down,3.1732471854902196
GAB2,-0.5318643326968668,-0.528006766636056,-0.012463682870308863,-0.11277623304425649,down,3.1776607241918464
RPS8,-0.5907506865154001,-0.6214774112208723,-0.024174390912092704,-0.21970283146286648,down,3.184002017165288
RPL35A,-0.23338336595911846,-0.3123400248176974,-0.012186337795024363,-0.11109509420930706,down,3.1884585694841734
RPLP2,-0.4475513964203265,-0.5311912319779435,-0.023007125404081164,-0.2102458094344861,down,3.1919244010956147
EEF1D,-0.4937451066830492,-0.5295665396352679,-0.017970335935835705,-0.16462203229425257,down,3.1954681488653107
DYNLL1,-0.6167966869976338,-0.6240107503434483,-0.019972764476805755,-0.18328469055441687,down,3.1979803466557897
RPS19,-0.40141628123536427,-0.4602514514314098,-0.014953718002500973,-0.1386342731053204,down,3.212707826862567
RUNX1,-0.31439832534174994,-0.3052201020909254,0.01931175477082143,-0.17916490260639878,down,3.213736882797598
CCNL1,-0.5552895160149465,-0.560798637670396,-0.013846202453320036,-0.12932053215449496,down,3.223389096273339
DEK,-0.29023528450185476,-0.35031624378375315,0.03740615335315099,-0.3500268431193389,down,3.2261180451119764
AGPS,-0.31114332659020905,-0.3131731911983789,0.013254703684507929,-0.12618276781231366,down,3.250938578176441
RPL22,-0.45198661290513775,-0.4810784466836769,-0.01734020541282589,-0.16939280179521848,down,3.2881796758574193
NACA,-0.3294804563029069,-0.3504505450901265,-0.013194276962621706,-0.13044778256106596,down,3.305488221226813
NCKAP5,-0.5482268639058903,-0.5582047864418737,-0.016383878226577078,-0.16269318846894953,down,3.31180504772062
KRT7,-0.6881091234365886,-0.6891229231993977,-0.019316910643107605,-0.19212766940244125,down,3.314129017449622
RPL22L1,-0.4199379803833087,-0.46625786587404533,-0.014374940670070892,-0.1431785157119965,down,3.31618712218436
CREBRF,-0.5608410567956917,-0.5628323451192672,-0.011683306731177432,-0.11648675273013484,down,3.3176453323141533
RHEB,-0.28449022715464073,-0.30270943561580477,0.015610907934437963,-0.15697610853929345,down,3.329918648039474
RPL27,-0.44931819315334554,-0.4994212485385489,-0.01721953685169222,-0.17357219256627537,down,3.3334175921691966
RPL10A,-0.3807302222317718,-0.4368432702360952,-0.015115187090867791,-0.15339484413913734,down,3.3431792508301124
GSTP1,-0.5853274720625501,-0.5883320449847013,-0.01977502738049375,-0.2009353531725586,down,3.344979821157101
LRRFIP2,-0.5489561818375841,-0.5445055618851891,-0.016644436878374337,-0.17003349415988855,down,3.3527069980427444
FOSB,-0.7906850823407722,-0.75597652831061,-0.06331414998558102,-0.6538463177338021,down,3.3683517130323213
AP2M1,-0.32165349392959086,-0.3362474808233089,-0.009765296238264241,-0.10185890872635396,down,3.3827645456634627
RACK1,-0.5296719090328815,-0.5900977583201178,-0.019188176328659972,-0.20058487853282825,down,3.3859233423886885
ADAMTS16,-0.6061152530204479,-0.626850016621064,-0.019764008361627002,-0.20671236706276155,down,3.3866772276569637
SCD,-0.5423416608411002,-0.548757188139949,-0.016037463229762995,-0.16803439470399745,down,3.3892387036170573
KLHL5,-0.30853811073215387,-0.30779863150037245,-0.013251535669242446,-0.13893630377099173,down,3.39019215900402
ARHGEF26,-0.4224275496614406,-0.4112637943112648,-0.009770282482685272,-0.10389601198979354,down,3.410596193133726
NT5C2,-0.41541283090071474,-0.40850095166882755,-0.01109450455866102,-0.11896718603989256,down,3.4226465506037678
MEGF9,-0.4314940007985271,-0.44714847795171586,-0.0214197988902617,-0.23010998047557454,down,3.425306718549172
EEF1A1,-0.5807205456921868,-0.61787961841529,-0.02259486216650705,-0.2427836210228792,down,3.4256044345505723
ZNF706,-0.47656834957811445,-0.47937344192199255,-0.012935511768965265,-0.145039827214314,down,3.4870400737609573
HSPA9,-0.6333102228805152,-0.6323793931156457,-0.019117002266220713,-0.21480961276954105,down,3.49013033822537
HSPA8,-0.5185611078531372,-0.5408178608094947,-0.02271300850628808,-0.2574571199440005,down,3.50274144877183
HKDC1,-0.6818395558887358,-0.6743125768064965,-0.03420783861545177,-0.3881273035202364,down,3.5041310686933116
RPS3A,-0.5427637659142297,-0.5624455180291418,-0.020695843530204375,-0.23511578508859632,down,3.5059584443245884
RPS12,-0.4677857130829841,-0.5245801003353325,-0.02140016053785488,-0.24715484763413018,down,3.5297216789560704
ATF4,-0.28275746848086997,-0.35001902832597126,0.015703137665605365,-0.18276640127457075,down,3.5408761180815116
RPS17,-0.5404859006289073,-0.582005839236667,-0.02060809222693888,-0.24115736820901945,down,3.5486920300468068
RPL6,-0.4327762145353032,-0.46896424309840573,-0.011917551283089982,-0.1408307037968279,down,3.5628021648042494
RPL14,-0.2984471237265751,-0.3276963923149667,-0.010503937508202235,-0.1266781792500949,down,3.5921658933646423
RPL38,-0.40183800277144627,-0.5002096703746045,-0.01444541612473796,-0.17425583246582016,down,3.5925232760301444
MBNL2,-0.27380219544976037,-0.3200002649145205,0.016082430255457254,-0.19584513059198225,down,3.60615592090646
RPS7,-0.29461174279888713,-0.36845488134982196,-0.009421750127081522,-0.11492306333968377,down,3.608529473128421
MZT2A,-0.46748143344740034,-0.47840840045985594,-0.008766318585782588,-0.10709555087484152,down,3.610783626214257
PRDX6,-0.43712741059388316,-0.4427949267848891,-0.009206156841709365,-0.11252610115616064,down,3.6115168510650157
FOS,-0.799868347215235,-0.7598164496285492,-0.06888825317755343,-0.8502915432626075,down,3.625627688663415
MTPN,-0.2623236247494964,-0.3000206671160007,0.009470941123038944,-0.11794484090064666,down,3.63846071114658
ME1,-0.6355421155200779,-0.6384353062653932,-0.01742425293170845,-0.21770974739682047,down,3.6432372952537078
RPS13,-0.32105481558612065,-0.38622868836186314,-0.015068050594832202,-0.1886670628398267,down,3.646277894051011
LRRC7,-0.6943884198211066,-0.7067567255286811,-0.038313896228445436,-0.48163761255044285,down,3.6520084116341476
SEM1,-0.569685513491628,-0.5882879444118783,-0.010685472023175388,-0.1347053897805015,down,3.65608503196498
RBM25,-0.3239612058200983,-0.31159351565219917,0.010427583542094101,-0.1321433413061307,down,3.6636269537611468
STC2,-0.2811787805311587,-0.3305386657559859,0.01579480925087429,-0.20128808803638157,down,3.6717393786835704
GCLM,-0.6525313999404752,-0.6365274731958499,-0.010174782589867438,-0.13048004877399186,down,3.6807593533668173
UQCRH,-0.4109013450490541,-0.4430867517365289,-0.01742320865061787,-0.22492225609575817,down,3.6903441834848594
PYROXD1,-0.32955231005204794,-0.33449638862842107,0.012948371521706324,-0.16782332337428696,down,3.696100658398615
OGFRL1,-0.3228369244657587,-0.3552646881569589,0.016246831304020316,-0.21220740069493313,down,3.707244695775241
HES1,-0.7429985614567164,-0.7063321457484947,-0.031845983900764076,-0.42270427000849303,down,3.7304653353416937
JUND,-0.3678633503866448,-0.3805269277361692,0.015423134444626568,-0.20515597568957594,down,3.733553277833807
CYLD,-0.3309466273555306,-0.3234984534196075,0.010176881379709263,-0.13554274306933306,down,3.7353804412394247
ADAMTSL4-AS1,-0.7341739486874115,-0.7047310746675193,-0.01667562761718075,-0.2259707504552616,down,3.7603230770143306
