,magic_pearson_score,magic_spearman_score,magic_slope_0_to_0.75,magic_slope_0.75_to_1,direction,log2fc
TMCC1,0.466334675482159,0.5057901620833974,0.02752615979787124,0.11071184874347037,up,2.0079343750610996
FN1,0.5918120078153474,0.5857687287362319,0.06724303966915318,0.2730566392459224,up,2.0217433886367786
SLC4A4,0.597065166080274,0.6113215510412254,0.04379611013618547,0.17821496198729905,up,2.0247438190331657
SEMA3C,0.6514026650955651,0.6591524962508593,0.04655944966092693,0.1907360577592296,up,2.03443169357377
FTX,0.8044508115917371,0.7778507237949565,0.07378801624342503,0.30564418048394637,up,2.0503946628561343
PCM1,0.37111427002854713,0.3779016348658338,0.033506182785629265,0.1387926567337974,up,2.0504319985578032
HNRNPC,0.3401905486092782,0.3808652245498756,0.02485750565325051,0.1032312085805327,up,2.054125748024594
ATRX,0.4183997151882103,0.4634028608417074,0.025959265856802912,0.10843381161507795,up,2.062493196367931
GADD45B,0.6481117086929097,0.6638551865012767,0.02862577357905572,0.12012624525804907,up,2.0691648003605145
SPDL1,0.4986482605766099,0.5188185749110893,0.029697516576426348,0.12567283420379607,up,2.081258629080442
TPRG1,0.5127483609354685,0.5434865661807701,0.02396929067246059,0.10160171514352336,up,2.0836656357242
AL589935.1,0.6818724489411885,0.6860229230890672,0.026113848184632603,0.11311247375487311,up,2.1148710582068038
TPCN1,0.7186078959826283,0.7052682411712182,0.031120831495009414,0.13520120043384498,up,2.11915544890025
AHNAK,0.5863247260291995,0.5801879171194058,0.032412724426752956,0.14106687651882469,up,2.121747077403544
LTBP3,0.5120937008933377,0.524234608468284,0.02697002990881231,0.11846318697948777,up,2.135009777573409
TLN1,0.6120439432670901,0.6160139658242321,0.03315649933712085,0.1457071627248622,up,2.135708199406657
PLCE1,0.5754378333809724,0.6101253528384747,0.033077740539359204,0.14558822757342638,up,2.137961106351335
LINC01473,0.63174471386671,0.6243671669722143,0.029806026863360337,0.13174763616380117,up,2.144101094704633
NBEAL1,0.6377452068949512,0.6643882195440278,0.033867477274406914,0.14999136420805018,up,2.1469070073006664
MIR31HG,0.6137702335967872,0.6464869355398507,0.051810240728419055,0.2309372380089731,up,2.1561916305878883
RNF217,0.3669095462733464,0.35068870849069766,0.028141576456103636,0.1256265451398103,up,2.158366286851529
LPCAT2,0.652739379173398,0.67136200240554,0.040048439728642034,0.1806879349166463,up,2.173682234265936
CPSF6,0.4644764303899909,0.4824588884527266,0.029702479021478653,0.13478807910706933,up,2.1820376566490096
BMPR2,0.4247474249186943,0.46722571964482035,0.02561757948435377,0.11729970238673304,up,2.1949932809452575
KIAA1958,0.5980794252492906,0.6192935608680497,0.029222397978592985,0.13421088040347945,up,2.1993551596811565
KLF7,0.46460076325097766,0.4830114916160698,0.042550755556034034,0.1978497738901112,up,2.2171487619614645
ANKRD10,0.5385500733888842,0.5624281156085439,0.026328092354138567,0.12249585397337433,up,2.218058022814435
MYH9,0.6367267670115081,0.67076824819169,0.03359073197963946,0.15644951346138147,up,2.2195620330158654
CFAP299,0.6772305867242945,0.6954177980508816,0.07733737557317788,0.36342315034188905,up,2.2324126104882223
CCDC80,0.5065908376919843,0.5570321019165232,0.03917528258584651,0.18957272630523836,up,2.2747358331023544
ZNF638,0.30278473546043266,0.34379131790110495,0.021442717202373812,0.10409271181769326,up,2.2793094205167073
COL4A3,0.43097012792152567,0.4954855750553696,0.027937730304397747,0.13580468692903502,up,2.2812465468337755
MICAL3,0.579702724883814,0.61273169384001,0.028875622012140494,0.14059755041658292,up,2.2836475298550303
FRMD4A,0.6560820767182678,0.6499685349075391,0.046580534649476875,0.22804523669151652,up,2.291520932180374
PTPRF,0.4751330660449702,0.4813225584910341,0.04375515767487637,0.21503994806044416,up,2.297079703833587
EPHA5,0.5902606462342808,0.5819161684338882,0.02638411074039198,0.12966813403715394,up,2.2970827162824623
MAGI1,0.4734358801596175,0.5310072943928474,0.038595028050192395,0.19067380632084666,up,2.3046197566211566
ABCC4,0.6315811114056739,0.6344941077445639,0.023845123884070087,0.11880179540353795,up,2.316790455982177
RDX,0.3255122189203742,0.34812272734137323,0.020657374276849806,0.10367889152550822,up,2.327393406464879
SLC22A3,0.35003718617262825,0.38926434408927646,0.0295302495572168,0.14982572734034957,up,2.343019923888721
SCLT1,0.3411800894140596,0.37394121870430824,0.029758144063219444,0.1516546612606878,up,2.3494333840587585
UACA,0.6127547229585717,0.6329011828506492,0.043490903216368476,0.22168560951596816,up,2.3497295462140384
