Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"TEAD4_SKNSH_HG19"	"TEAD4"	"22"	"432"	"1.954E-8"	"1.08E-5"	"4.653"	"ENCODE--ChIP-seq"	"MT2A,EPC1,KRT7,MYL12A,MYL12B,H3F3B,COL1A1,TNFRSF12A,PXDN,AHNAK,ATAD2,COTL1,CAPN2,CNN3,FUT8,CYBRD1,BHLHE40,GSK3B,MCM7,ASAP1,LAMB2,PTPN13"
"gene_set_query"	"2"	"0.01695"	"NR3C1_A549_HG19"	"NR3C1"	"46"	"1661"	"3.825E-7"	"1.06E-4"	"2.47"	"ENCODE--ChIP-seq"	"MT2A,EPC1,RPS11,KRT7,MGST1,BAZ2B,HACD2,RANBP17,EIF1,NCEH1,PPP3CB,TMEM43,CHMP1B,TNFRSF12A,ENAH,PABPC1,YAP1,AHNAK,SSNA1,GPC6,NQO1,USP9X,LYRM4,GPAM,CCDC6,PKN1,FRA10AC1,WASHC4,PHLDB1,PPP1CB,BASP1,COTL1,CAPN2,PLS3,NDRG1,UBC,H1FX,HSPA9,BHLHE40,NABP1,ITGB1,DCAF10,RRM1,LAMB2,TPCN1,GNPDA1"
"gene_set_query"	"3"	"0.02542"	"JUND_SKNSH_HG19"	"JUND"	"38"	"1403"	"4.913E-6"	"6.78E-4"	"2.414"	"ENCODE--ChIP-seq"	"COL12A1,ANTXR1,MT2A,RPL35,KRT7,TLN2,TTYH3,INTU,MYL12A,MYL12B,SLC35F5,CHMP1B,TNFRSF12A,HEG1,ENAH,PAFAH1B2,YAP1,CSTB,MEGF6,USP9X,TMEM158,CENPP,TARDBP,COTL1,CAPN2,NDRG1,CNN3,UBC,ITGB1,MCM7,PPP1R13L,REXO2,MCM4,ASAP1,UBQLN1,PTPN13,GNPDA1,NECTIN3"
"gene_set_query"	"4"	"0.0339"	"REST_MYOCYTE_MM9"	"REST"	"44"	"1816"	"1.541E-5"	"0.0017"	"2.153"	"ENCODE--ChIP-seq"	"NUDT4,EPC1,CPED1,ADH5,RNF217,H3F3B,EIF1,TNFRSF12A,VWA8,PABPC1,PAFAH1B2,SSNA1,FLNA,ZNF106,USP9X,GPAM,TTC3,FRA10AC1,PPP1CB,BASP1,RPS9,TPST2,FRMD6,COL4A2,COL4A1,CNN3,UTP20,HSPA9,NABP1,FGFR1,ITGB1,SLC25A3,PPP1R13B,HSP90AB1,SERAC1,REXO2,MCM6,NUFIP2,NXN,GOSR1,MXI1,UBQLN1,PTPN13,TPCN1"
"gene_set_query"	"5"	"0.04237"	"FOXA2_A549_HG19"	"FOXA2"	"32"	"1276"	"9.144E-5"	"0.00713"	"2.231"	"ENCODE--ChIP-seq"	"RPL3,MT2A,WSB1,ZNF384,H3F3B,CADM2,CCDC88A,TNFRSF12A,IL15,PABPC1,YAP1,PSMB7,NQO1,FRA10AC1,PPP1CB,RPS9,PHIP,UTP25,NDRG1,H1FX,NABP1,SERINC1,ITGB1,HSP90AB1,VPS13B,PPDPF,MCM4,MXI1,DCAF10,MBTPS1,RRM1,ASB7"
"gene_set_query"	"6"	"0.05085"	"ZNF384_CH12LX_MM9"	"ZNF384"	"39"	"1677"	"9.16E-5"	"0.00713"	"2.065"	"ENCODE--ChIP-seq"	"ANTXR1,NUDT4,EPC1,ST6GAL1,PFN1,BAZ2B,ADH5,STK38L,PLK2,TRERF1,FAM111A,CCDC88A,AKAP12,ZMYM2,CC2D2A,IL15,VWA8,PAFAH1B2,CSTB,PSMB7,CHN1,ATAD2,LYRM4,TTC3,CENPP,PLXND1,TOX,FUT8,UBC,CLSPN,SMYD3,NASP,SLC25A3,ILK,ADAMTS6,ITGA4,ITGA3,VPS13B,MCM3"
"gene_set_query"	"7"	"0.05932"	"CEBPB_C2C12_MM9"	"CEBPB"	"32"	"1285"	"1.033E-4"	"0.00713"	"2.215"	"ENCODE--ChIP-seq"	"RPL3,COL12A1,ATG10,HACD2,PCNX4,EIF1,FAM111A,TRAM2,ENAH,PABPC1,CD44,PAFAH1B2,SSNA1,MRPL54,FLNA,ATAD2,CENPP,COTL1,PLS3,CAMKMT,PHIP,ITPR3,NDRG1,HSPA9,BHLHE40,TGIF1,ITGA3,MCM3,NXN,GOSR1,TPCN1,NECTIN3"
"gene_set_query"	"8"	"0.0678"	"TCF3_GM12878_HG19"	"TCF3"	"32"	"1302"	"1.296E-4"	"0.00795"	"2.185"	"ENCODE--ChIP-seq"	"RPL3,WSB1,ATG10,HACD2,MYL12B,MTDH,ANXA4,VWA8,GPAM,CENPP,FRA10AC1,SAT2,RPS9,CAMKMT,COL4A4,PHIP,ZNF431,H1FX,NABP1,UBE2K,RERE,HEBP2,ADAMTS6,PPDPF,NUFIP2,GOSR1,UBQLN1,DCAF10,MBTPS1,TPCN1,GNPDA1,VAPA"
"gene_set_query"	"9"	"0.07627"	"MYC_A549_HG19"	"MYC"	"41"	"1839"	"1.495E-4"	"0.00825"	"1.977"	"ENCODE--ChIP-seq"	"RPL3,RPL35,HACD2,MYL12B,TERT,ZNF384,TRERF1,POLA1,CCDC88A,SLC35F5,TMEM43,VWA8,CD44,PAFAH1B2,CHN1,GPC6,ATAD2,LYRM4,CENPP,FRA10AC1,FAM13A,COL4A5,PHIP,UTP25,FTX,NDRG1,UTP20,HSPA9,UBE2K,PPP1R13B,HSP90AB1,ILK,HEBP2,ENOSF1,REXO2,PPDPF,PDXK,EYA4,PTPN13,GNPDA1,TRIM33"
"gene_set_query"	"10"	"0.08475"	"CTCF_C2C12_MM9"	"CTCF"	"39"	"1764"	"2.4E-4"	"0.0101"	"1.961"	"ENCODE--ChIP-seq"	"TRIO,COL12A1,ANTXR1,CPNE3,ST6GAL1,HACD2,MTDH,STK38L,PLK2,CCDC88A,NCEH1,NOX4,VKORC1,HEG1,PPARG,SSNA1,USP9X,LYRM4,CCDC6,FRA10AC1,PLXND1,BASP1,CAPN2,TPST2,FRMD6,UTP25,ITPR3,CNN3,SMYD3,BHLHE40,BCL2,FGFR1,HEBP2,RB1CC1,ITGA4,GOSR1,DCAF10,PTPN13,TPCN1"
"gene_set_query"	"11"	"0.09322"	"ATF3_A549_HG19"	"ATF3"	"39"	"1810"	"3.847E-4"	"0.0118"	"1.91"	"ENCODE--ChIP-seq"	"RPL3,ANTXR1,RPS11,PFN1,ZNF384,H3F3B,PLK2,EIF1,CCDC88A,NCEH1,TMEM43,SSNA1,PSMB7,RPL15,NQO1,ATAD2,GPAM,CENPP,FRA10AC1,WASHC4,PPP1CB,PLS3,RPS9,CAMKMT,UTP25,NDRG1,UBC,HSPA9,ITGB1,SLC25A3,HSP90AB1,ILK,PPP1R13L,VPS13B,NUFIP2,GOSR1,UBQLN1,DCAF10,ASB7"
"gene_set_query"	"12"	"0.1017"	"MYOD1_MYOCYTE_MM9"	"MYOD1"	"54"	"2784"	"5.14E-4"	"0.0149"	"1.715"	"ENCODE--ChIP-seq"	"TRIO,COL12A1,NUDT4,MT2A,RPL35,CPED1,MYL12B,RNF217,H3F3B,FAM111A,CCDC88A,NCEH1,ZMYM2,VKORC1,ANXA4,ENAH,VWA8,PXDN,AHNAK,SSNA1,ABRACL,FGD4,CHN1,ZNF106,LYRM4,GPAM,CCDC6,PKN1,FRA10AC1,FAM13A,CAPN2,TPM4,TPST2,FRMD6,MAF,NDRG1,PODXL,UBC,BCL2,NABP1,ITGB1,PPP1R13B,HSP90AB1,RB1CC1,ADAMTS6,ITGA4,REXO2,NXN,UBQLN1,MBTPS1,TPCN1,VAPA,ASB7,TRIM33"
"gene_set_query"	"13"	"0.1102"	"GTF2B_K562_HG19"	"GTF2B"	"39"	"1855"	"5.963E-4"	"0.0157"	"1.862"	"ENCODE--ChIP-seq"	"RPL3,RPS11,WSB1,ATG10,ADH5,MIER1,STK38L,H3F3B,NCEH1,ANXA4,SPHK1,VWA8,PRIM2,CD58,CENPP,WASHC4,FAM13A,PPP1CB,COTL1,RPS9,ZNF431,UTP25,NDRG1,H1FX,UTP20,HSPA9,UBE2K,ITGB1,SLC25A3,HEBP2,ADAMTS6,BCKDHB,VPS13B,PPDPF,MCM6,UBQLN1,DCAF10,MBTPS1,TPCN1"
"gene_set_query"	"14"	"0.1186"	"TCF12_SKNSH_HG19"	"TCF12"	"20"	"744"	"6.571E-4"	"0.0159"	"2.396"	"ENCODE--ChIP-seq"	"MT2A,KRT7,COL1A1,TNFRSF12A,PXDN,AHNAK,ZNF106,TMEM158,PHLDB1,COTL1,CAPN2,UBC,BHLHE40,ADAMTS6,ITGA3,REXO2,MCM3,ASAP1,PTPN13,NECTIN3"
"gene_set_query"	"15"	"0.1271"	"MYOG_MYOCYTE_MM9"	"MYOG"	"60"	"3208"	"6.631E-4"	"0.0159"	"1.653"	"ENCODE--ChIP-seq"	"MT2A,RPL35,ST6GAL1,ATG10,CPED1,ZFPM2,ADH5,MYL12B,PCNX4,PLK2,EIF1,CCDC88A,NCEH1,SLC35F5,ZMYM2,TCP11L1,VKORC1,TNFRSF12A,VWA8,PXDN,PAFAH1B2,YAP1,PRIM2,SSNA1,CHN1,ATAD2,GPAM,CCDC6,PKN1,FRA10AC1,PPP1CB,CAPN2,PLS3,CAMKMT,TPST2,FRMD6,NDRG1,CNN3,UBC,HSPA9,BCL2,NABP1,UBE2K,ITGB1,DOCK3,PPP1R13B,HSP90AB1,ILK,SERAC1,ITGA4,VPS13B,ITGA6,MXI1,UBQLN1,LINGO2,MBTPS1,PTPN13,TPCN1,GNPDA1,VAPA"
"gene_set_query"	"16"	"0.1356"	"JUN_ENDOTHELIALCELLOFUMBILICALVEIN_HG19"	"JUN"	"22"	"877"	"9.085E-4"	"0.0201"	"2.231"	"ENCODE--ChIP-seq"	"MT2A,INTU,RNF217,H3F3B,EIF1,NCEH1,TNFRSF12A,HEG1,PAFAH1B2,YAP1,MEGF6,USP9X,COTL1,CAPN2,NDRG1,CNN3,UBC,BHLHE40,RERE,GSK3B,ASAP1,UBQLN1"
"gene_set_query"	"17"	"0.1441"	"FOSL1_K562_HG19"	"FOSL1"	"20"	"773"	"0.001031"	"0.0219"	"2.303"	"ENCODE--ChIP-seq"	"MT2A,TTYH3,RNF217,H3F3B,TMEM43,TNFRSF12A,SPHK1,PAFAH1B2,MEGF6,AHNAK,SSNA1,PKN1,PHLDB1,CAPN2,UBC,BHLHE40,SLC25A3,HSP90AB1,PPP1R13L,MXI1"
"gene_set_query"	"18"	"0.1525"	"ATF2_GM12878_HG19"	"ATF2"	"32"	"1502"	"0.001294"	"0.0265"	"1.888"	"ENCODE--ChIP-seq"	"RPL3,WSB1,BAZ2B,MYL12A,ZNF384,FAM111A,SLC35F5,CHMP1B,TCP11L1,IL15,VWA8,SSNA1,PSMB7,GPAM,CCDC6,CENPP,TARDBP,FRA10AC1,RPS9,UTP25,H1FX,HSPA9,NASP,SLC25A3,PPP1R13L,ADAMTS6,VPS13B,MCM3,GOSR1,DCAF10,MBTPS1,RRM1"
"gene_set_query"	"19"	"0.161"	"CEBPD_HEPG2_HG19"	"CEBPD"	"25"	"1105"	"0.001779"	"0.0317"	"2.007"	"ENCODE--ChIP-seq"	"RPL3,ECI2,EPC1,WSB1,PFN1,ADH5,CCDC88A,SPHK1,VWA8,FRA10AC1,WASHC4,H1FX,HSPA9,SERINC1,UBE2K,ITGB1,SLC25A3,HSP90AB1,ILK,HEBP2,NUFIP2,RBBP8,DCAF10,TPCN1,ASB7"
"gene_set_query"	"20"	"0.1695"	"NFIC_SKNSH_HG19"	"NFIC"	"16"	"587"	"0.001793"	"0.0317"	"2.43"	"ENCODE--ChIP-seq"	"MT2A,PFN1,TTYH3,MYL12A,COL1A1,TCP11L1,TNFRSF12A,PXDN,AHNAK,ATAD2,COTL1,BHLHE40,ADAMTS6,ITGA3,ASAP1,VAPA"
"gene_set_query"	"21"	"0.178"	"E2F1_HELAS3_HG19"	"E2F1"	"37"	"1854"	"0.001835"	"0.0317"	"1.766"	"ENCODE--ChIP-seq"	"TRIO,CPNE7,MT2A,RPL35,EPC1,ATG10,HACD2,RASSF8,POLA1,FAM111A,CCDC88A,TCP11L1,KIF1C,HEG1,SPHK1,PPARG,PAFAH1B2,CHN1,FLNA,CD58,ATAD2,TTC3,CCDC6,PPP1CB,COL4A4,H1FX,CLSPN,BHLHE40,ITGB1,SLC25A3,ILK,MCM3,MCM6,MOSPD2,ASAP1,RRM1,TRIM33"
"gene_set_query"	"22"	"0.1864"	"TFAP2A_HELAS3_HG19"	"TFAP2A"	"36"	"1810"	"0.002176"	"0.0364"	"1.76"	"ENCODE--ChIP-seq"	"MT2A,PPP4R1,KRT7,PFN1,HACD2,RASSF8,COL1A1,NCEH1,TRAM2,VKORC1,PRIM2,CSTB,SSNA1,NQO1,TTC3,WASHC4,BASP1,COTL1,CAPN2,PLS3,COL4A4,ITPR3,FUT8,HSPA9,CYBRD1,NASP,BHLHE40,ITGB1,HEBP2,PPP1R13L,ITGB8,BCKDHB,MCM3,MCM6,RRM1,LAMB2"
"gene_set_query"	"23"	"0.1949"	"TBP_MELCELLLINE_MM9"	"TBP"	"34"	"1687"	"0.002266"	"0.0368"	"1.784"	"ENCODE--ChIP-seq"	"WSB1,MYL12B,PCNX4,MIER1,H3F3B,EIF1,POLA1,FAM111A,ZMYM2,CHMP1B,TNFRSF12A,PABPC1,CSTB,MRPL54,PSMB7,TMEM158,FRA10AC1,COTL1,PLS3,RPS9,TPST2,NDRG1,FUT8,SMYD3,NASP,NABP1,SERINC1,VPS13B,MCM3,MXI1,MBTPS1,RRM1,LAMB2,PTPN13"
"gene_set_query"	"24"	"0.2034"	"STAT3_HELAS3_HG19"	"STAT3"	"35"	"1780"	"0.002904"	"0.0445"	"1.739"	"ENCODE--ChIP-seq"	"MT2A,WSB1,KRT7,TLN2,INTU,MGST1,HACD2,H3F3B,PLK2,EIF1,POLA1,CCDC88A,CHMP1B,HEG1,YAP1,PSMB7,NQO1,USP9X,CCDC6,CENPP,PPP1CB,BASP1,COTL1,CAPN2,PLS3,COL4A5,ZNF431,NDRG1,UBC,BHLHE40,NABP1,ITGB8,UBQLN1,GNPDA1,ASB7"
"gene_set_query"	"25"	"0.2119"	"USF1_C2C12_MM9"	"USF1"	"34"	"1719"	"0.002989"	"0.0446"	"1.75"	"ENCODE--ChIP-seq"	"RPL3,MT2A,RPS11,WSB1,ATG10,INTU,MYL12A,ADH5,MTDH,EIF1,NCEH1,TMEM43,SPHK1,PABPC1,YAP1,CSTB,ABRACL,USP9X,TTC3,PKN1,CENPP,TPST2,UTP20,HSPA9,BHLHE40,MCM7,ILK,SERAC1,REXO2,MCM3,PDXK,GNPDA1,FRAS1,VAPA"
"gene_set_query"	"26"	"0.2203"	"TCF7L2_HEK293_HG19"	"TCF7L2"	"35"	"1821"	"0.004053"	"0.0552"	"1.699"	"ENCODE--ChIP-seq"	"TRIO,SOX4,ST6GAL1,BAZ2B,EIF1,CCDC88A,TCP11L1,YAP1,PRIM2,PSMB7,RPL15,GPC6,USP9X,LYRM4,CENPP,TARDBP,PLS3,MAF,COL4A2,COL4A1,COL4A5,PHIP,PODXL,UBC,BHLHE40,ITGB1,HEBP2,PPP1R13L,MCM4,MXI1,UBQLN1,EYA4,PTPN13,FRAS1,NECTIN3"
"gene_set_query"	"27"	"0.2288"	"EGR1_ECC1_HG19"	"EGR1"	"40"	"2158"	"0.004278"	"0.0552"	"1.638"	"ENCODE--ChIP-seq"	"ECI2,RPL35,EPC1,RPS11,HACD2,MTDH,TERT,ZNF384,RASSF8,POLA1,TRAM2,PPP3CB,TCP11L1,TNFRSF12A,PABPC1,CSTB,CD58,ATAD2,LYRM4,TTC3,CCDC6,PLXND1,CAMKMT,PHIP,CNN3,UBC,BHLHE40,FGFR1,RERE,PPP1R13B,HSP90AB1,HEBP2,ITGB8,SERAC1,VPS13B,PDXK,DCAF10,MBTPS1,RRM1,VAPA"
"gene_set_query"	"28"	"0.2373"	"E2F4_MELCELLLINE_MM9"	"E2F4"	"13"	"475"	"0.004302"	"0.0552"	"2.44"	"ENCODE--ChIP-seq"	"EIF1,POLA1,FAM111A,PRIM2,ATAD2,CLSPN,NASP,MCM7,PPP1R13L,MCM3,MCM4,MCM6,RRM1"
"gene_set_query"	"29"	"0.2458"	"MAX_MYOCYTE_MM9"	"MAX"	"22"	"1006"	"0.004549"	"0.0558"	"1.939"	"ENCODE--ChIP-seq"	"RPL3,RPS11,ADH5,MTDH,EIF1,TMEM43,PABPC1,LYRM4,CENPP,CAPN2,RPS9,UTP25,NDRG1,UTP20,HSPA9,MCM7,ILK,PPP1R13L,ADAMTS6,TGIF1,MCM3,GOSR1"
"gene_set_query"	"30"	"0.2542"	"SRF_ECC1_HG19"	"SRF"	"29"	"1461"	"0.005187"	"0.0573"	"1.756"	"ENCODE--ChIP-seq"	"COL12A1,RPS11,MYL12A,ZNF384,FZD2,EIF1,POLA1,CCDC88A,SLC35F5,AKAP12,PPP3CB,CHMP1B,TAGLN,SSNA1,MRPL54,FLNA,ATAD2,GPAM,FRA10AC1,CAPN2,PLS3,TPM4,FTX,HSPA9,MCM7,MCM4,UBQLN1,DCAF10,RRM1"
"gene_set_query"	"31"	"0.2627"	"PAX5_GM12878_HG19"	"PAX5"	"38"	"2072"	"0.005987"	"0.0628"	"1.62"	"ENCODE--ChIP-seq"	"RPL3,WSB1,PFN1,ADH5,MTDH,STK38L,H3F3B,CCDC88A,SLC35F5,PPP3CB,TMEM43,CHMP1B,PAFAH1B2,SSNA1,ATAD2,GPAM,TARDBP,FRA10AC1,WASHC4,RPS9,CAMKMT,ZNF431,H1FX,HSPA9,SLC25A3,ILK,PPDPF,MCM4,MCM6,PDXK,NUFIP2,GOSR1,MXI1,RBBP8,DCAF10,MBTPS1,RRM1,PTPN13"
"gene_set_query"	"32"	"0.2712"	"GATA2_ENDOTHELIALCELLOFUMBILICALVEIN_HG19"	"GATA2"	"34"	"1809"	"0.006146"	"0.0628"	"1.661"	"ENCODE--ChIP-seq"	"COL12A1,MT2A,EPC1,ST6GAL1,KRT7,MYL12A,MYL12B,FZD2,H3F3B,PLK2,RASSF8,NCEH1,TRAM2,PABPC1,YAP1,USP9X,PKN1,WASHC4,BASP1,PLS3,TPM4,MIR100HG,FTX,NDRG1,CNN3,BHLHE40,PPP1R13L,ADAMTS6,REXO2,USP40,GOSR1,ASAP1,LAMB2,VAPA"
"gene_set_query"	"33"	"0.2797"	"BHLHE40_MELCELLLINE_MM9"	"BHLHE40"	"32"	"1702"	"0.007467"	"0.0717"	"1.662"	"ENCODE--ChIP-seq"	"MT2A,RPL35,CPNE3,RPS11,WSB1,ATG10,PFN1,MYL12A,ADH5,TRERF1,EIF1,SLC35F5,SPHK1,CSTB,ABRACL,MRPL54,USP9X,LYRM4,PKN1,CENPP,FRMD6,ITPR3,NDRG1,SMYD3,BHLHE40,HSP90AB1,SERAC1,TGIF1,ITGA4,PDXK,MOSPD2,VAPA"
"gene_set_query"	"34"	"0.2881"	"GATA3_SKNSH_HG19"	"GATA3"	"22"	"1054"	"0.007532"	"0.0717"	"1.849"	"ENCODE--ChIP-seq"	"MT2A,RPS11,KRT7,RASSF8,TNFRSF12A,ENAH,AHNAK,GPC6,TMEM158,TARDBP,WASHC4,COTL1,FRMD6,BHLHE40,ADAMTS6,ITGA3,REXO2,ASAP1,LAMB2,PTPN13,VAPA,NECTIN3"
"gene_set_query"	"35"	"0.2966"	"MXI1_CH12LX_MM9"	"MXI1"	"32"	"1721"	"0.008617"	"0.0755"	"1.643"	"ENCODE--ChIP-seq"	"ATG10,TTYH3,MYL12B,PCNX4,TERT,MIER1,CCDC88A,TRAM2,AKAP12,ZMYM2,KIF1C,TNFRSF12A,PRIM2,SSNA1,PSMB7,PKN1,FHOD3,IPO5,COTL1,RPS9,CAMKMT,NDRG1,CNN3,TNFRSF14,BHLHE40,RERE,SERAC1,VPS13B,PPDPF,PDXK,CAMK2A,TPCN1"
