Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.003367"	"TEAD1"	"TEAD1"	"34"	"1448"	"1.913E-4"	"0.0509"	"2.085"	"ReMap--ChIP-seq"	"RPL3,COL12A1,MT2A,KRT7,PFN1,MYL12A,MYL12B,COL1A1,FAM111A,TRAM2,TNFRSF12A,CFAP299,CD44,YAP1,AHNAK,CHN1,PHLDB1,FAM13A,COTL1,CAPN2,PLS3,ADAM12,ITPR3,CNN3,UBC,CYBRD1,NABP1,ITGB1,PPP1R13L,ITGA3,ITGA6,PDXK,PTPN13,TPCN1"
"gene_set_query"	"2"	"0.006734"	"FOS"	"FOS"	"33"	"1451"	"3.939E-4"	"0.0509"	"2.018"	"ReMap--ChIP-seq"	"MT-ND4L,RPL3,MT-ND3,MT2A,KRT7,MT-CO2,PFN1,ZFPM2-AS1,RNF217,TMEM43,TNFRSF12A,TUBB,ANXA4,PABPC1,CD44,AHNAK,MT-ATP8,CAPN2,SLC16A3,TPM4,UTP25,NDRG1,UBC,BHLHE40,NABP1,ITGB1,HSP90AB1,ITGB8,ITGA3,ITGA6,TPCN1,GNPDA1,VAPA"
"gene_set_query"	"3"	"0.0101"	"NFIC"	"NFIC"	"32"	"1446"	"7.233E-4"	"0.0509"	"1.963"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT2A,KRT7,MT-CO2,PFN1,TTYH3,MYL12A,MYL12B,COL1A1,TRAM2,TNFRSF12A,IL15,TUBB,HEG1,CD44,AHNAK,FLNA,MT-ATP8,CCDC6,CAPN2,SLC16A3,UTP25,NREP,UBC,BHLHE40,NABP1,HSP90AB1,PPP1R13L,ITGB8,ITGA3,TPCN1"
"gene_set_query"	"4"	"0.01347"	"SMAD3"	"SMAD3"	"32"	"1452"	"7.715E-4"	"0.0509"	"1.954"	"ReMap--ChIP-seq"	"MT-ND4L,TRIO,RPL3,CPNE7,MT-ND3,SOX4,KRT7,MT-CO2,PFN1,MYL12B,FZD2,EIF1,COL1A1,CHMP1B,TNFRSF12A,PABPC1,CD44,AHNAK,FLNA,GPC6,MT-ATP8,CAPN2,SLC16A3,UBC,BHLHE40,ITGB1,HSP90AB1,MCM7,PPP1R13L,ITGA3,PDXK,TPCN1"
"gene_set_query"	"5"	"0.01684"	"TET3"	"TET3"	"4"	"37"	"8.569E-4"	"0.0509"	"10.51"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT-CO2,MT-ATP8"
"gene_set_query"	"6"	"0.0202"	"OVOL2"	"OVOL2"	"4"	"39"	"0.001048"	"0.0519"	"9.911"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT-CO2,MT-ATP8"
"gene_set_query"	"7"	"0.02357"	"HOXC11"	"HOXC11"	"5"	"77"	"0.002021"	"0.0837"	"6.022"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT-CO2,TERT,MT-ATP8"
"gene_set_query"	"8"	"0.02694"	"E2F7"	"E2F7"	"30"	"1443"	"0.002458"	"0.0837"	"1.841"	"ReMap--ChIP-seq"	"RPL3,COL12A1,MT2A,RPS11,PFN1,BAZ2B,ZNF384,FZD2,H3F3B,PLK2,EIF1,COL1A1,KIF1C,TNFRSF12A,AHNAK,FLNA,USP9X,PLXND1,COTL1,CAPN2,SLC16A3,TPM4,UBC,BHLHE40,NABP1,HSP90AB1,MCM7,ITGA3,MCM4,MXI1"
"gene_set_query"	"9"	"0.0303"	"MYOD1"	"MYOD1"	"30"	"1448"	"0.002578"	"0.0837"	"1.835"	"ReMap--ChIP-seq"	"MT-ND4L,TRIO,MT-ND3,RPL35,SAMD12,KRT7,MT-CO2,PFN1,TTYH3,H3F3B,COL1A1,TRAM2,VKORC1,TNFRSF12A,HEG1,SPHK1,PXDN,CD44,AHNAK,MT-ATP8,PLXND1,CAPN2,COL4A2,COL4A1,BHLHE40,HSP90AB1,ITGA3,ITGA6,PDXK,TPCN1"
"gene_set_query"	"10"	"0.03367"	"OTX2"	"OTX2"	"29"	"1443"	"0.004424"	"0.0837"	"1.779"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,KRT7,MT-CO2,ZFPM2-AS1,RNF217,FZD2,PLK2,RASSF8,NOX4,TRAM2,CC2D2A,IL15,ANXA4,CFAP299,MT-ATP8,FAM13A,CAPN2,COL4A4,ADAM12,NREP,UBC,ITGB1,GSK3B,RB1CC1,ITGB8,ITGA4,CAMK2A,RBBP8"
