Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.003367"	"FOS"	"FOS"	"66"	"1451"	"2.309E-5"	"0.00512"	"1.807"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,ATP5IF1,DKK3,DDIT4,MT-CO3,ATF6,ATF3,TIPARP,SH3BGRL3,ANXA2,MYOF,EMP3,FOS,PLIN2,CHML,RNF145,PHLDA2,NEAT1,S100A6,MALAT1,TNFRSF10B,PTPRB,MT-CYB,EIF4G1,DUSP10,PMEPA1,ASPH,DSG2,LEPROT,SEMA3C,LRP1,AHNAK2,KLF5,ZMYND8,HERC3,FTH1,ACTN4,CSNK1E,CD109,MICAL2,PTK2,MT-ATP6,RNF144B,VGLL3,MIR222HG,SH3RF2,ARID5B,SLC30A1,ZFP36L2,UBE2H,DOCK5,SLC2A1,LAMC1,SFTA1P,DDAH1,PALLD,HKDC1,MYH9,LAMA3,ATP1A1,PDLIM7,LAMB1,CD9,VIM"
"gene_set_query"	"2"	"0.006734"	"OTX2"	"OTX2"	"65"	"1443"	"3.448E-5"	"0.00512"	"1.788"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,CREB3L2,PARD3,MT-CO3,ABCB5,FLRT2,CDK17,NEBL,RDX,EXOC6B,ANXA2,MYOF,PLCB4,PLIN2,CHML,RIC1,LINC01111,ZBTB38,S100A6,PTPRB,MT-CYB,DUSP10,VPS13C,ASPH,LEPROT,SEMA3C,MALT1,TXNRD1,ZMYND8,HERC3,SOAT1,EZR,NKAIN2,PYROXD1,MT-ATP6,PPP3CA,SPTLC2,TMED7,CAP1,RNF144B,RHOJ,MFGE8,HSD17B2,LOXL2,ENPP2,TBC1D12,UBE2H,BMP6,AFDN,PAN3,TAB2,TSEN15,LAMC1,IQCJ-SCHIP1,PDE4B,LRRFIP2,SFTA1P,DDAH1,HKDC1,LAMA3,UACA,LAMB1,VIM"
"gene_set_query"	"3"	"0.0101"	"LHX2"	"LHX2"	"64"	"1443"	"5.964E-5"	"0.0059"	"1.759"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,MT-CO3,FLRT2,NDFIP2,NEBL,TIPARP,ANXA2,MYOF,DPYD,EXOC6,GAS5,RNF145,LINC01111,MITF,NEAT1,CD151,PTPRB,MT-CYB,DUSP10,ASPH,GAPDH,SEMA3C,MALT1,FYN,KLF5,HERC3,EZR,NKAIN2,NTNG1,SNHG5,C2CD3,MT-ATP6,PPP3CA,SPTLC2,ANKRD1,RHOJ,HSD17B2,MIR222HG,SH3RF2,MEGF9,ACTG1,PPME1,HSPA5,HMGA2,GULP1,DLG1,COL5A2,TAB2,DDX3X,TSEN15,SLC2A1,LRRFIP2,YWHAZ,DDAH1,HKDC1,IER5L,ATP1A1,UACA,ZNF804A,LAMB1,FAM155A,VIM"
"gene_set_query"	"4"	"0.01347"	"TEAD1"	"TEAD1"	"63"	"1448"	"1.114E-4"	"0.00827"	"1.724"	"ReMap--ChIP-seq"	"TES,SLC4A2,DKK3,NEDD4L,FLRT2,NDFIP2,LARP6,ANXA2,MYOF,FOS,CHML,LPCAT2,NEAT1,S100A6,MALAT1,LINC01578,CD151,MSC-AS1,CDK6,PMEPA1,ASPH,LEPROT,SEMA3C,KLF5,SPARC,ZMYND8,ACTB,HERC3,ACTN4,TLN1,EZR,MICAL2,PTK2,SH3KBP1,PPP3CA,SPTLC2,ANKRD1,VGLL3,SLC20A2,GREB1L,MIR222HG,SORT1,SH3RF2,ESYT2,KIRREL1,ARID5B,TBC1D12,UBE2H,AZIN1,GULP1,DLG1,COL5A2,DOCK5,LAMC1,SFTA1P,PTGIS,LATS2,DDAH1,PALLD,MYH9,UACA,LAMB1,VIM"
"gene_set_query"	"5"	"0.01684"	"SMAD3"	"SMAD3"	"62"	"1452"	"2.003E-4"	"0.0119"	"1.691"	"ReMap--ChIP-seq"	"MT-CO1,SLC4A2,MT-ND2,PSMD2,DKK3,DDIT4,MT-CO3,ANXA2,MYOF,MMP14,RIC1,NEAT1,S100A6,MALAT1,ROR1,LINC01578,CD151,TNFRSF10B,CDK6,MT-CYB,EIF4G1,PMEPA1,ASPH,DSG2,GAPDH,SEMA3C,MALT1,KLF7,KLF5,ZMYND8,ACTB,ACTN4,MXRA8,EZR,MICAL2,SNHG5,PTK2,MT-ATP6,PPP3CA,CAP1,MIR222HG,SH3RF2,STEAP3,ACTG1,FBXW11,LTBP3,ZFP36L2,UBE2H,GULP1,DOCK5,SLC2A1,LAMC1,SFTA1P,DDAH1,PALLD,MYH9,IER5L,UACA,PDLIM7,S100PBP,CD9,VIM"
"gene_set_query"	"6"	"0.0202"	"CEBPG"	"CEBPG"	"58"	"1438"	"0.001105"	"0.0547"	"1.593"	"ReMap--ChIP-seq"	"CYFIP2,TES,TFRC,ATP5IF1,EID1,TMEM126B,ATF3,TIPARP,EDEM1,RDX,MLLT11,HRK,MRC2,SH3BGRL3,FOS,LRRC7,PLIN2,NRAS,RNF145,MITF,NEAT1,MALAT1,LINC01578,MSC-AS1,TNFRSF10B,OGT,PHACTR2,ASPH,PPP1R12B,LEPROT,FYN,KLF5,SYT11,ZMYND8,FTH1,SOAT1,ZNF706,NTNG1,MAP1LC3B,ZMYM4,GAB2,PRICKLE1,SH3RF2,SCN9A,ARID5B,RTN3,KLHL29,DIAPH3,TSEN15,ELF2,LATS2,PALLD,HKDC1,LUC7L2,RALA,LAMB1,FAM155A,VIM"
"gene_set_query"	"7"	"0.02357"	"HNF1B"	"HNF1B"	"57"	"1448"	"0.002005"	"0.0851"	"1.553"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,SLC4A4,EID1,DDIT4,MT-CO3,EPB41L5,LRRC1,ANXA2,MYOF,PLCB4,DPYD,MGLL,LYPLAL1,CHML,EVC2,APEX1,ZBTB38,NPAS2,TNFRSF10B,MT-CYB,OGT,PMEPA1,ASPH,NRG3,DSG2,SEMA3C,MAL2,AHNAK2,BICC1,KLF5,HERC3,LIMCH1,ACTN4,RUNX1,SOAT1,CD109,EZR,XRCC6,MT-ATP6,ANKRD1,DHX15,HSD17B2,MIR222HG,SH3RF2,ARID5B,USP53,FAM83B,LAMC1,DDAH1,PEAK1,HKDC1,SHANK2,NT5C2,LAMB1,VIM"
"gene_set_query"	"8"	"0.02694"	"TET3"	"TET3"	"5"	"37"	"0.002514"	"0.0933"	"5.924"	"ReMap--ChIP-seq"	"MT-CO1,MT-ND2,MT-CO3,MT-CYB,MT-ATP6"
"gene_set_query"	"9"	"0.0303"	"OVOL2"	"OVOL2"	"5"	"39"	"0.003182"	"0.105"	"5.575"	"ReMap--ChIP-seq"	"MT-CO1,MT-ND2,MT-CO3,MT-CYB,MT-ATP6"
"gene_set_query"	"10"	"0.03367"	"HMBOX1"	"HMBOX1"	"54"	"1443"	"0.006555"	"0.155"	"1.474"	"ReMap--ChIP-seq"	"GMFB,MT-CO1,MT-ND2,CREB3L2,DDIT4,MT-CO3,PRDX1,NDFIP2,TIPARP,ELL2,ECHS1,APEX1,MITF,NEAT1,MALAT1,LINC01578,MT-CYB,OGT,HMGCS1,NT5C3A,ASPH,BMP2K,TMEM41B,ZMYND8,ARL15,ACTN4,TLN1,EZR,ZNF706,RABGAP1L,MICAL2,PTK2,CALU,MT-ATP6,AKAP11,CAP1,NCOA3,GAB2,EPS15,SORT1,MEGF9,PPIP5K2,ARID5B,SLC30A1,TBL1XR1,UBE2H,GULP1,CLK1,AFDN,TSEN15,SLC2A1,ELF2,PEAK1,VIM"
"gene_set_query"	"11"	"0.03704"	"PRDM1"	"PRDM1"	"54"	"1444"	"0.006637"	"0.155"	"1.473"	"ReMap--ChIP-seq"	"TFRC,PARD3,ATF3,SEH1L,FLRT2,CDK17,RDX,CLTC,MZT2B,RNF169,DPYD,PLIN2,PELI2,FGF2,SLC16A7,S100A6,MALAT1,TNFRSF10B,ETFA,DUSP10,ASPH,LRP1,MAL2,TXNRD1,KLF7,TMEM41B,CBLB,TLN1,EZR,PTK2,LARP1B,DHX15,CBR1,CAMLG,VGLL3,MTX3,MEGF9,CHCHD3,PPIP5K2,KIRREL1,GPD2,VCP,LTBP3,CAMTA1,KLHL29,BMP6,CLK1,TBCK,DIAPH3,LGALS3BP,PTGIS,PDLIM7,S100PBP,NAP1L1"
"gene_set_query"	"12"	"0.0404"	"RUNX2"	"RUNX2"	"54"	"1450"	"0.00715"	"0.155"	"1.466"	"ReMap--ChIP-seq"	"TES,CREB3L2,DKK3,FN1,LARP6,ANXA2,MYOF,FOS,MMP14,PLCB4,LPCAT2,ZBTB38,FRMD4A,NEAT1,S100A6,MALAT1,ASPH,GAPDH,LEPROT,LRP1,MALT1,TXNRD1,SPARC,ZMYND8,ACTB,HERC3,ACTN1,ACTN4,CSNK1E,MXRA8,MICAL2,PTK2,PTPRG,PPP3CA,VGLL3,MIR222HG,SH3RF2,ESYT2,STEAP3,LOXL1,ACTG1,ZFP36L2,DLG1,DOCK5,SLC2A1,LAMC1,NAV1,LATS2,DDAH1,MYH9,LAMA3,IER5L,CD9,VIM"
"gene_set_query"	"13"	"0.04377"	"CDX2"	"CDX2"	"54"	"1452"	"0.007328"	"0.155"	"1.464"	"ReMap--ChIP-seq"	"MT-CO1,MT-ND2,DDIT4,MT-CO3,NEBL,TIPARP,LRRC1,ANXA2,MYOF,FOS,MGLL,SDAD1,RNF145,FABP5,APEX1,ZBTB38,NEAT1,S100A6,MALAT1,DSC2,LINC01578,MT-CYB,PHACTR2,ASPH,SEMA3C,LRP1,TSPAN13,KLF5,ZMYND8,CBLB,ACTB,FTH1,ACTN4,MICAL2,MT-ATP6,PPP3CA,MAP1LC3B,NAALADL2,SH3RF2,ESYT2,ARID5B,ZFP36L2,UBB,SMAD5,GULP1,PHTF2,SLC2A1,YWHAZ,HKDC1,MYH9,LAMB1,DEK,CD9,VIM"
"gene_set_query"	"14"	"0.04714"	"FOSL1"	"FOSL1"	"54"	"1452"	"0.007328"	"0.155"	"1.464"	"ReMap--ChIP-seq"	"CREB3L2,DDIT4,ATF6,ATF3,NEBL,ELL2,SH3BGRL3,ANXA2,MYOF,EMP3,DPYD,FLNC,CARD8,PHLDA2,ZBTB38,NEAT1,S100A6,MALAT1,ASPH,BMP2K,LEPROT,SEMA3C,LRP1,AHNAK2,ZMYND8,ACTB,FTH1,ACTN4,CD109,EZR,MICAL2,PTK2,CAP1,SLC20A2,MIR222HG,SH3RF2,ESYT2,ACTG1,SCN9A,SLC30A1,LTBP3,ZFP36L2,UBE2H,AFDN,SLC2A1,LAMC1,PALLD,HKDC1,MYH9,LAMA3,ATP1A1,NT5C2,PDLIM7,VIM"
"gene_set_query"	"15"	"0.05051"	"MAFG"	"MAFG"	"53"	"1446"	"0.01001"	"0.198"	"1.442"	"ReMap--ChIP-seq"	"GMFB,CREB3L2,DIP2B,DKK3,DDIT4,ATF3,NEDD4L,NEBL,ELL2,GPR137B,ANXA2,LYPLAL1,FLNC,ZBTB38,MITF,NEAT1,MALAT1,AAGAB,BAG1,OSBPL3,CDK6,ETFA,DUSP10,PHACTR2,HMGCS1,ASPH,SYF2,GAPDH,LEPROT,PFKP,ZMYND8,FTH1,B2M,ARL15,MGST3,SLAMF7,RABGAP1L,SLC44A5,HIBADH,CAP1,CBR1,GAB2,AKAP6,SORT1,SCN9A,GPD2,BMP6,AFDN,SLC2A1,PALLD,HKDC1,ATP1A1,NT5C2"
"gene_set_query"	"16"	"0.05387"	"PROX1"	"PROX1"	"52"	"1445"	"0.01434"	"0.242"	"1.415"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,DDIT4,MT-CO3,NEBL,ANXA2,MYOF,EMP3,PLIN2,RNF145,NEAT1,S100A6,MALAT1,NPAS2,TNFRSF10B,CDK6,MT-CYB,PMEPA1,ASPH,DSG2,SEMA3C,LRP1,MALT1,KLF5,ACTB,ACTN1,ACTN4,CD109,EZR,MICAL2,SIPA1L3,MT-ATP6,PPP3CA,MAP1LC3B,WARS,HSD17B2,MIR222HG,SH3RF2,ESYT2,TBL1XR1,LTBP3,ZFP36L2,BAMBI,DOCK5,SLC2A1,PTGIS,HKDC1,MYH9,ATP1A1,UACA,CD9"
"gene_set_query"	"17"	"0.05724"	"FOXA1"	"FOXA1"	"52"	"1448"	"0.01483"	"0.242"	"1.412"	"ReMap--ChIP-seq"	"GMFB,TES,NEDD4L,ABCA1,CDK17,CADM1,NEBL,TIPARP,RDX,ELL2,ANXA2,MYOF,FOS,RNF145,NEAT1,MALAT1,LINC01578,UAP1,CPD,DUSP10,ASPH,NFAT5,ACSS3,SEMA3C,MAL2,TXNRD1,TSPAN13,ZMYND8,CBLB,HERC3,ARL15,ACTN4,EZR,SCFD1,C2CD3,ANKRD1,DHX15,NCOA3,MEGF9,PPME1,ARID5B,TBL1XR1,COBLL1,SMAD5,GULP1,PHTF2,LAMC1,YWHAZ,DDAH1,MYH9,NT5C2,LAMB1"
"gene_set_query"	"18"	"0.06061"	"GATA6"	"GATA6"	"52"	"1448"	"0.01483"	"0.242"	"1.412"	"ReMap--ChIP-seq"	"MT-CO1,MT-ND2,MT-CO3,RDX,ANXA2,MYOF,FOS,MMP14,CHML,RNF145,FABP5,APEX1,NEAT1,S100A6,MALAT1,CD151,CDK6,MT-CYB,LRP1,MAL2,KLF5,ZMYND8,ACTB,FTH1,ACTN1,ACTN4,SOAT1,EZR,MGST3,MICAL2,MT-ATP6,SPTLC2,CTSH,HSD17B2,SH3RF2,ARID5B,ZFP36L2,UBB,NDUFV1,UBE2H,SMAD5,GULP1,BAMBI,LGALS3BP,DOCK5,SLC2A1,LAMC1,ELF2,MYH9,LAMA3,UACA,LAMB1"
"gene_set_query"	"19"	"0.06397"	"ONECUT1"	"ONECUT1"	"52"	"1452"	"0.0155"	"0.242"	"1.408"	"ReMap--ChIP-seq"	"CYFIP2,MT-CO1,RAPH1,MT-ND2,SLC4A4,WLS,EID1,MT-CO3,TMEM126B,EPB41L5,ABCA1,TIPARP,ELL2,MYOF,MMP14,DPYD,PLIN2,USO1,FIGN,ETNK1,DACH1,IGFBP5,ZBTB38,IGFBP3,NEAT1,FOXP2,ITPR2,CDK6,MT-CYB,DUSP10,BMP2K,ACSS3,ACTN4,PPP1R3B,MGST3,MT-ATP6,TMED7,GAB2,RNF144B,HSD17B2,SCN9A,LMO4,ARID5B,SLC30A1,GPD2,ZFP36L2,COBLL1,SMAD5,BAMBI,COL5A2,MYH9,ATP1A1"
"gene_set_query"	"20"	"0.06734"	"HOXB13"	"HOXB13"	"51"	"1443"	"0.02003"	"0.288"	"1.389"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,MEF2A,EID1,MT-CO3,NEDD4L,CDK17,TIPARP,RDX,ELL2,CLTC,ANXA2,CHML,LPCAT2,LINC01111,MAP3K4,UAP1,CPD,MT-CYB,NT5C3A,NFAT5,ACSS3,MAL2,TXNRD1,KLF7,TSPAN13,HERC3,SOAT1,MGST3,ZNF706,DYM,MAP9,NTNG1,C2CD3,MT-ATP6,CTSH,CAP1,PRICKLE1,NAPG,EPS15,UBE2G2,LOXL1,PPME1,FBXW11,KCTD9,COBLL1,SMAD5,GULP1,RABEP1,PEAK1"
"gene_set_query"	"21"	"0.07071"	"CEBPB"	"CEBPB"	"51"	"1449"	"0.02134"	"0.288"	"1.383"	"ReMap--ChIP-seq"	"TES,ATP5IF1,EID1,DDIT4,NEDD4L,CDK17,TIPARP,EDEM1,EXOC6B,ANXA2,MYOF,FOS,MMP14,PLIN2,MGLL,RNF145,MITF,NEAT1,MALAT1,LINC01578,TNFRSF10B,CPD,OGT,ASPH,SEMA3C,LRP1,KLF5,ZMYND8,RUSC2,FTH1,ACTN1,ACTN4,EZR,ZNF706,MICAL2,MAP1LC3B,WARS,MIR222HG,ESYT2,ARID5B,RTN3,ZFP36L2,DLG1,DOCK5,SLC2A1,DDAH1,PALLD,MYH9,IER5L,LAMB1,VIM"
"gene_set_query"	"22"	"0.07407"	"ELF3"	"ELF3"	"51"	"1449"	"0.02134"	"0.288"	"1.383"	"ReMap--ChIP-seq"	"SLC4A2,EID1,DDIT4,FLRT2,RDX,ELL2,ANXA2,MYOF,FOS,MMP14,MGLL,ZBTB38,NEAT1,S100A6,MALAT1,LINC01578,CD151,TNFRSF10B,DUSP10,PMEPA1,VPS13C,ASPH,NRG3,DSG2,MAL2,BICC1,PFKP,ZMYND8,LIMCH1,ACTN1,ACTN4,CSNK1E,EZR,SPTLC2,DHX15,MIR222HG,SH3RF2,KIRREL1,USP53,LTBP3,HMGA2,BMPR1B,SLC2A1,LAMC1,HKDC1,MYH9,ATP1A1,NT5C2,UACA,LAMB1,VIM"
"gene_set_query"	"23"	"0.07744"	"MEF2A"	"MEF2A"	"50"	"1446"	"0.02901"	"0.375"	"1.358"	"ReMap--ChIP-seq"	"MT-CO1,MT-ND2,CREB3L2,DDIT4,MT-CO3,ATF3,PRDX1,EDEM1,ANXA2,FOS,NEAT1,MALAT1,LINC01578,MSC-AS1,CDK6,MT-CYB,MOXD1,DUSP10,BMP2K,SLC25A4,NFAT5,MALT1,KLF7,ZMYND8,ACTB,CD109,EZR,SLAMF7,RABGAP1L,SNHG5,SH3KBP1,GDI2,MT-ATP6,TMED7,NCOA3,EPS15,MIR222HG,ACTG1,FBXW11,ARID5B,SLC30A1,CYBA,TBL1XR1,NDUFV1,PHTF2,ARAP2,DDAH1,RALA,ATP1A1,VIM"
"gene_set_query"	"24"	"0.08081"	"E2F7"	"E2F7"	"49"	"1443"	"0.03894"	"0.419"	"1.333"	"ReMap--ChIP-seq"	"PSMD8,CREB3L2,EWSR1,DDIT4,FN1,MRC2,ANXA2,FOS,MMP14,GAS5,GRN,IGFBP5,TPM2,NEAT1,S100A6,MALAT1,LINC01578,CD151,TNFRSF10B,DUSP10,MMS22L,GAPDH,LRP1,FBXL20,AHNAK2,SPARC,ACTB,FTH1,SRRM2,ACTN1,THAP4,OBSL1,SNHG5,MLF2,PCNA,SLC20A2,MIR222HG,ACTG1,TBL1XR1,LTBP3,ZFP36L2,HSPA5,HMGA2,PAN3,DDAH1,MYH9,PDLIM7,S100PBP,VIM"
