Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"TEAD4_ECC1_HG19"	"TEAD4"	"38"	"1871"	"7.71E-5"	"0.0254"	"2.116"	"ENCODE--ChIP-seq"	"ACTB,MYC,DLEU1,DDX17,ACTN1,TLN2,PIK3R1,LARS,DNAH14,CCDC88A,NCEH1,RPS29,DENND1B,KANK2,TAGLN,SLC20A2,APOLD1,ANKRD50,LOXL1,CDH2,CAPN2,CAMKMT,ATP6V1A,ITPR2,LPP,SKIL,HMGA2,ITGB1,HSPB1,ERC1,SH3D19,DSP,SHROOM3,BMP2K,NFAT5,MAT2A,SLIT3,EYA4"
"gene_set_query"	"2"	"0.01695"	"TCF7L2_HEK293_HG19"	"TCF7L2"	"37"	"1821"	"9.203E-5"	"0.0254"	"2.117"	"ENCODE--ChIP-seq"	"LDLRAD3,ACTB,GLS,MYC,RPL37,SOX4,NR2F1,RPS25,MLLT10,CCDC88A,RPS27,ATR,UCHL1,XPO1,FSTL1,APOLD1,SNX14,IGF1R,CDH2,COL4A2,COL4A1,COL4A5,DSC3,ATP6V1A,ZMAT3,HMGA2,AHI1,ITGB1,MTCL1,DSP,TRPC1,ALS2,BMP2K,LRP1,MAT2A,EYA4,NECTIN3"
"gene_set_query"	"3"	"0.02542"	"TCF3_MYOCYTE_MM9"	"TCF3"	"31"	"1708"	"0.001609"	"0.24"	"1.887"	"ENCODE--ChIP-seq"	"LDLRAD3,ACTB,PPP4R1,MEF2A,ACTN1,ACSL4,PIK3R1,HIF1A,LRBA,CCDC88A,DENND1B,AHCTF1,AKAP10,RALGPS2,GPC1,ANKRD50,RANBP2,MYEF2,MSI2,CDH2,CAPN2,ADNP,SQSTM1,ATP6V1A,NOTCH2,RASAL2,AHI1,MTCL1,DST,BMP2K,NFAT5"
"gene_set_query"	"4"	"0.0339"	"ZNF384_ESE14_MM9"	"ZNF384"	"30"	"1690"	"0.002532"	"0.24"	"1.845"	"ENCODE--ChIP-seq"	"ACTB,MYC,CCDC93,ACSL4,HIF1A,LARS,PRELID2,RPL41,RPS25,GDI2,SLC20A2,GPC1,NFIB,RORA,LOXL1,IGF1R,SACS,ADAM9,DSC2,ATP6V1A,PHF21A,SCIN,SPECC1,UQCC1,ITGB1,HSPB1,SHROOM3,NFAT5,EHBP1,NECTIN3"
"gene_set_query"	"5"	"0.04237"	"JUND_SKNSH_HG19"	"JUND"	"26"	"1403"	"0.002604"	"0.24"	"1.928"	"ENCODE--ChIP-seq"	"ULK4,MBNL1,COL8A1,TLN2,INTU,RPL41,RPS27,RPS29,DENND1B,UCHL1,GPC1,MYEF2,LOXL1,SMCHD1,CAPN2,ADAM9,SKIL,AHI1,ITGB1,LAMC1,SH3D19,DST,ALS2,NFAT5,MAT2A,NECTIN3"
"gene_set_query"	"6"	"0.05085"	"JUN_ENDOTHELIALCELLOFUMBILICALVEIN_HG19"	"JUN"	"18"	"877"	"0.003746"	"0.295"	"2.139"	"ENCODE--ChIP-seq"	"GLS,MBNL1,ACSL4,COL8A1,INTU,LARS,RPS27,NCEH1,RPS29,XKR6,SLC7A8,APOLD1,MYEF2,CAPN2,ADAM9,LAMC1,SH3D19,ALS2"
"gene_set_query"	"7"	"0.05932"	"NR3C1_A549_HG19"	"NR3C1"	"28"	"1661"	"0.006392"	"0.318"	"1.751"	"ENCODE--ChIP-seq"	"CCNH,ACTB,TMTC2,HACD2,NCEH1,AKAP10,KANK2,APOLD1,EGFR,GPC1,RANBP2,GPAM,ANKRD36,CASC4,MSI2,PPP1CB,CAPN2,ADNP,NOTCH2,ITPR2,LPP,SKIL,HMGA2,ITGB1,HSPB1,DST,NFAT5,MAT2A"
"gene_set_query"	"8"	"0.0678"	"MYOD1_C2C12_MM9"	"MYOD1"	"17"	"860"	"0.006651"	"0.318"	"2.059"	"ENCODE--ChIP-seq"	"LDLRAD3,MYC,MEF2A,ACSL4,KALRN,LRBA,CAPN2,COL4A2,COL4A1,SQSTM1,NOTCH2,FUT8,SKIL,COL5A2,HSPB1,DST,ADSS"
"gene_set_query"	"9"	"0.07627"	"REST_NEURALCELL_HG19"	"REST"	"14"	"658"	"0.006995"	"0.318"	"2.219"	"ENCODE--ChIP-seq"	"PANK3,PPP4R1,RPL37,MEF2A,RPL41,UCHL1,TAOK1,GRIP1,RASAL2,ITGB1,TRPC1,ALS2,NFAT5,CAMK2A"
"gene_set_query"	"10"	"0.08475"	"ZBTB7A_ECC1_HG19"	"ZBTB7A"	"29"	"1753"	"0.007166"	"0.318"	"1.717"	"ENCODE--ChIP-seq"	"PANK3,ACTB,MYC,ATG10,TSPAN9,PRELID2,DNAH14,DENND1B,AKAP10,TAGLN,FSTL1,EGFR,ANKRD50,AXL,TAOK1,RORA,IGF1R,EP300,COL4A2,COL4A1,COL4A4,ITPR2,LPP,STK33,HMGA2,ERC1,PARD3B,LRP1,MAT2A"
