Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.003367"	"OTX2"	"OTX2"	"39"	"1443"	"1.177E-7"	"3.5E-5"	"2.836"	"ReMap--ChIP-seq"	"MT-ND4L,CCNH,MT-ND3,ZNF609,MBNL1,COL8A1,MT-CO2,CFH,ZFPM2-AS1,LARS,PRELID2,RPS29,NOX4,ATR,MT-ATP6,CAP1,SLC7A8,MT-ATP8,CMSS1,IGF1R,GRIP1,EFEMP1,CAPN2,LEPR,ZBTB38,COL4A4,ADAM12,ADAM9,NREP,RASAL2,LPP,TMEM245,ITGB1,LAMC1,BICD1,IQCJ-SCHIP1,SHROOM3,CAMK2A,PCED1B"
"gene_set_query"	"2"	"0.006734"	"ONECUT1"	"ONECUT1"	"33"	"1452"	"2.664E-5"	"0.00298"	"2.374"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,DLEU1,MT-CO2,CFH,PIK3R1,HACD2,ZFPM2-AS1,PRELID2,NR2F1,SMARCA1,MLLT10,RPS29,NOX4,DENND1B,MT-ATP6,EGFR,MYO9A,MT-ATP8,GPAM,PPP1CB,CDH2,ZBTB38,ITPR2,TMEM245,SMAD5,COL5A2,ITGB1,SH3D19,SHROOM3,RASA1,BMP2K,MAT2A"
"gene_set_query"	"3"	"0.0101"	"TET3"	"TET3"	"5"	"37"	"3.093E-5"	"0.00298"	"15.95"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT-CO2,MT-ATP6,MT-ATP8"
"gene_set_query"	"4"	"0.01347"	"OVOL2"	"OVOL2"	"5"	"39"	"4.019E-5"	"0.00298"	"15.01"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT-CO2,MT-ATP6,MT-ATP8"
"gene_set_query"	"5"	"0.01684"	"LHX2"	"LHX2"	"32"	"1443"	"5.29E-5"	"0.00314"	"2.315"	"ReMap--ChIP-seq"	"MT-ND4L,CCNH,MT-ND3,ZNF609,MYC,RPL37,COL8A1,MT-CO2,HIF1A,LARS,NR2F1,RPS25,DENND1B,MT-ATP6,MT-ATP8,SNX14,FRY,EFEMP1,GUCY1A2,ADAM9,SQSTM1,NREP,RASAL2,LPP,TMEM245,HMGA2,COL5A2,ITGB1,SHROOM3,MAT2A,PCED1B,NECTIN3"
"gene_set_query"	"6"	"0.0202"	"HOXC11"	"HOXC11"	"5"	"77"	"0.001008"	"0.0465"	"7.09"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT-CO2,MT-ATP6,MT-ATP8"
"gene_set_query"	"7"	"0.02357"	"SMAD3"	"SMAD3"	"28"	"1452"	"0.001096"	"0.0465"	"2.007"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,ACTB,LRMDA,MYC,SOX4,MXRA8,MT-CO2,HIF1A,RPL41,NR2F1,MT-ATP6,CAP1,APOLD1,NT5E,FLNA,MT-ATP8,CAPN2,ADAM9,RASAL2,LPP,SKIL,ITGB1,HSPB1,LAMC1,DST,DSG2,PCED1B"
"gene_set_query"	"8"	"0.02694"	"EHF"	"EHF"	"9"	"266"	"0.001495"	"0.0555"	"3.575"	"ReMap--ChIP-seq"	"MT-ND4L,MT-ND3,MT-CO2,NCEH1,MT-ATP6,EGFR,MT-ATP8,ADAM9,DSG2"
"gene_set_query"	"9"	"0.0303"	"KMT2A"	"KMT2A"	"25"	"1448"	"0.007048"	"0.18"	"1.794"	"ReMap--ChIP-seq"	"MYC,DLEU1,SOX4,MEF2A,MBNL1,WSB1,KCNQ5,PIK3R1,HIF1A,MLLT10,RPS29,ATR,APOLD1,IGF1R,PPP1CB,GRIP1,SMCHD1,PPIP5K2,EP300,FUT8,HMGA2,BICD1,ERC1,BMP2K,NFAT5"
"gene_set_query"	"10"	"0.03367"	"GATA3"	"GATA3"	"25"	"1450"	"0.007159"	"0.18"	"1.791"	"ReMap--ChIP-seq"	"MT-ND4L,PANK3,MT-ND3,MYC,ACTN1,MT-CO2,TMTC2,SLC35F6,DENND1B,MT-ATP6,NT5E,MT-ATP8,MSI2,LOXL1,EFEMP1,CAPN2,STARD4-AS1,ADAM12,ITPR2,LPP,ITGB1,HSPB1,THSD4,MAT2A,PCED1B"
