Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.008475"	"MYC_HELAS3_HG19"	"MYC"	"166"	"2818"	"2.726E-16"	"1.5E-13"	"2.209"	"ENCODE--ChIP-seq"	"RPL5,RPL32,RPL31,RPL34,ZNF292,COL12A1,RPL8,RBPJ,RPL9,RPL6,RPL7,RPL36,LUC7L,RPL35,RPL38,RPL39,IER3,RPL21,RPL23,RPL22,RPL24,RPL27,RPL26,RPL29,UBA52,ATF4,PRR13,PRKDC,MRPL20,SERF2,BTF3,NAA50,TIPARP,PA2G4,PRDX6,HNRNPC,CDK12,ARF4,RPLP1,RPLP0,TUBA1C,TRMT112,RACK1,ANXA2,GPRC5A,AGPS,GARS,GAS5,RPL10,RPL12,ODC1,RPL11,RPS15A,MICALL1,RPL14,RPS3,RPL13,RPS2,RPL19,RNF145,APEX1,RPL22L1,RPL10A,ABHD12,LAMP1,SLC39A9,TMSB10,AP2M1,PNISR,RPS9,RPS7,RPS8,EIF1AX,RPS6,RPSA,NEAT1,ERP29,MALAT1,ERH,SNRPF,UQCRH,TNFRSF10B,EEF2,DRAP1,CDK6,NACA,CDK4,HSP90AB1,RPL7A,EDF1,PTP4A2,RPL37A,ETF1,RPL36A,NOCT,FEM1C,DCAF13,CNBP,RPL35A,TPCN1,DNAJA1,SLC25A33,TPT1,EIF4A2,NUDT6,RPS15,RPS17,RPS16,RPL18A,RPS19,SNRPD1,EPC1,SEPHS2,RPS13,RPS12,SRRM2,TXN,RAB11FIP1,HLTF,DPH6,PAICS,RPS28,ID3,TMCC1,RPS24,RPS23,PYROXD1,HERPUD1,PCM1,SEC61G,ANKRD1,TMED7,HNRNPH1,CD63,NQO1,RANBP1,VMP1,XPOT,TCEA1,NDUFA13,UBE3C,NDUFA11,EEF1B2,CHCHD2,EEF1A1,TMEM135,HSPA9,HSPA5,DSTN,TBCA,AZIN1,GCLM,RBM25,DBI,RBM3,RPS4X,YWHAG,ABCC4,RPS3A,EEF1G,EEF1D,HES1,SGTB,TAF10,DEK,SCD"
"gene_set_query"	"2"	"0.01695"	"RELA_GM12892_HG19"	"RELA"	"90"	"1200"	"1.066E-15"	"2.94E-13"	"2.862"	"ENCODE--ChIP-seq"	"RPL5,TFRC,RPL31,ZNF292,RPL9,RPL6,RPL7,RPL35,JUNB,IER2,IER3,RFX3,RPL24,RPL27,RPL28,PRKDC,OAZ1,JUND,TIPARP,CYLD,BTG1,RPLP1,PEA15,GAS5,RPL10,ODC1,RPL11,RPS15A,RPS3,RPL13,RPS2,RPS27A,RPL17,RPL10A,RPS7,RPS8,RPS6,RPSA,NRF1,ANKRD10,EEF2,NFE2L2,HSP90AB1,RPL7A,ITGB8,PTP4A2,RPL37A,MALT1,NOCT,KLF7,KLF6,EIF4A2,CCNI,RPS15,RPS16,RPS19,EPC1,CCNL1,RPS12,EZR,TXN,ZNF706,GADD45B,SNHG5,PAICS,RPS28,RPS24,ZFAS1,HERPUD1,MAP1LC3B,KLHL5,KBTBD2,NDUFA13,ZFAND5,COTL1,EEF1A1,UBB,UBC,HSPA8,HMGA1,AZIN1,DBI,RPS4X,NFKBIZ,ABCC4,RPS3A,YWHAZ,MYH9,GMDS,GOLPH3"
"gene_set_query"	"3"	"0.02542"	"REST_GM12878_HG19"	"REST"	"83"	"1074"	"2.197E-15"	"4.04E-13"	"2.956"	"ENCODE--ChIP-seq"	"RPL5,TFRC,RPL31,RPL8,RPL9,RPL6,RPL36,RPL35,RPL38,JUNB,RPL21,RPL24,RPL26,RPL29,RPL28,ATF4,SF1,NYAP2,OAZ1,MRPL20,BTF3,RDX,ARF4,BTG1,RPLP1,RPLP0,RACK1,RPLP2,HSBP1,GPRC5A,GARS,RPL12,RPL11,RPS3,RPL13,RPS2,RPL17,RPL22L1,RPL10A,LAMP1,SLC39A9,RPS7,RPS8,RPS6,RPSA,NEAT1,MALAT1,ERH,FTL,NRDC,EEF2,NFE2L2,DPP10,HSP90AB1,RPL37A,PPM1L,DCAF13,SYT14,DNAJA1,KLF6,EIF4A2,RPS15,RPS17,SNRPD1,CCNL1,RPS12,EPAS1,TXN,ZNF706,GADD45B,SNHG5,RPS24,ZFAS1,PPME1,EEF1A1,UBB,UBC,CAPRIN1,DBI,RPS4X,RPS3A,NT5C2,HES1"
"gene_set_query"	"4"	"0.0339"	"CEBPD_K562_HG19"	"CEBPD"	"57"	"638"	"8.838E-14"	"6.97E-12"	"3.463"	"ENCODE--ChIP-seq"	"TFRC,RPL9,RPL36,JUNB,RPL23,DDIT4,RPL24,RPL26,ATF4,PRR13,OAZ1,JUND,RDX,ARF4,BTG1,RPLP0,TUBA1C,FOS,GARS,RPL10,RPL13,RPS6,FTL,TARS,UQCRH,BAG2,GOT1,EEF2,CDK6,NFE2L2,ETF1,RPL36A,KLF6,TPT1,EIF4A2,FTH1,CCNL1,ZNF706,HLTF,PCBP2,GADD45B,SNHG5,RPL27A,RPS23,MAP1LC3B,CTSH,HNRNPH1,COTL1,EEF1A1,UBB,CPSF6,HSPA5,AZIN1,DBI,CHD2,RPS3A,SCLT1"
"gene_set_query"	"5"	"0.04237"	"GTF2B_K562_HG19"	"GTF2B"	"110"	"1855"	"4.633E-12"	"3.09E-10"	"2.225"	"ENCODE--ChIP-seq"	"RPL5,TES,RPL32,RPL34,RPL7,RPL36,RPL38,JUNB,IER3,MBNL2,RPL23,RPL24,RPL26,RPL29,SF1,PRR13,OAZ1,MRPL20,JUND,PA2G4,HNRNPC,MRPL33,ANXA1,ANXA2,FOS,DYNLL1,AGPS,RPL12,RPL11,PSMA7,RPS15A,RPL13,RPS2,FOSB,FAM13A,RPL10A,ABHD12,TMSB10,RPS9,RPS7,RPS6,RPSA,FTL,GOT1,EEF2,CDK6,NFE2L2,RNF10,BMPR2,RPL7A,SUMO1,ME1,GPX4,ZNF638,ETF1,PPP1R15A,MTPN,RPL36A,PARD6B,POLR2L,KLF4,TPCN1,DNAJA1,MGAT4B,EIF4A2,ZMYND8,NUDT6,RPS15,RPS19,SRRM2,KRT8,TALDO1,EZR,TWF1,UBE2J1,RAB11FIP1,HLTF,PCBP2,GADD45B,RPS24,IMMP2L,PTPA,VMP1,MEGF9,NDUFA13,AKR7A2,PPME1,COTL1,TMEM135,PSPC1,ATP5MG,HSPA9,HMGA1,TBCA,SEM1,CAPRIN1,DBI,RPS4X,LRRFIP2,YWHAG,BCKDHB,EEF1G,NDUFS5,PPDPF,RALA,PDLIM1,HES1,PDLIM5,SCLT1,ATP2B4"
"gene_set_query"	"6"	"0.05085"	"FOSL2_A549_HG19"	"FOSL2"	"83"	"1249"	"5.168E-12"	"3.09E-10"	"2.513"	"ENCODE--ChIP-seq"	"RPL31,RPL8,RPL36,LUC7L,RPL38,JUNB,RPL24,RPL27,RPL26,RPL29,RPL28,PRR13,S100A10,NEBL,TIPARP,FOSL1,CDK12,BTG1,RPLP1,RPLP0,MRPL33,TUBA1C,TRMT112,TUBA1A,RACK1,DYNLL1,GARS,GAS5,RPS15A,RPS3,RPL13,RPS2,DHRS3,APEX1,RPL10A,ABHD12,SLC39A9,RPS9,RPS7,RPS6,ERP29,TARS,TNFRSF10B,EEF2,DRAP1,CDK4,HSP90AB1,RPL7A,RPL37A,NOCT,EIF4A2,CCNI,RPS15,RPS16,RPS12,IFRD1,COX7A2L,SARAF,GADD45B,SNHG5,AKR1B1,PCM1,SEC61G,ANKRD1,PTPA,EXOSC6,NQO1,VMP1,NDUFA13,EEF1A1,UBB,UBE2H,HSPA5,HMGA1,DSTN,AZIN1,CAPRIN1,RBM25,RND3,CLCN3,LAMB1,VIM,RPL26L1"
"gene_set_query"	"7"	"0.05932"	"JUND_HEPG2_HG19"	"JUND"	"153"	"2889"	"5.605E-12"	"3.09E-10"	"1.974"	"ENCODE--ChIP-seq"	"RPL5,TFRC,RPL31,RBPJ,RPL9,PTPDC1,RPL36,LUC7L,RPL35,RPL38,JUNB,IER2,IER3,MBNL2,RPL21,RPL22,DAAM1,DDIT4,RPL24,RPL26,RPL29,ATF3,ATF4,PRKDC,EPB41L5,JUND,CADM1,NEBL,FN1,PA2G4,FOSL1,HNRNPC,BTG1,RPLP1,RPLP0,LRRC1,MRPL33,TUBA1C,RPLP2,FOS,DYNLL1,MZT2B,MZT2A,AGPS,GAS5,RPL10,RPL11,PSMA7,MIPOL1,RPS15A,AP2S1,RPL13,RPS2,RPL19,WWOX,RPL22L1,CTNND1,LAMP1,TMSB10,MAGI1,BNIP3L,RPS7,RPS6,RPSA,ERP29,MALAT1,SNRPF,FTL,SRSF9,TARS,UAP1,BAG2,GOT1,TNFRSF10B,EEF2,DRAP1,RHEB,CDK4,NFE2L2,HSP90AB1,PTP4A2,PPP1R15A,RPL36A,POLR2L,CNBP,MGAT4B,SLC25A33,TPT1,EIF4A2,ZMYND8,RPS15,RPS17,HERC2,SNRPD1,FTH1,SRRM2,IFRD1,KRT8,TLN1,TXN,UBE2J1,PCBP2,SARAF,DPH6,XBP1,NBEAL1,SNHG5,RPS28,RPS24,PTPRK,IMMP2L,MAP1LC3B,ANKRD1,RAC1,TMED7,MLF1,HNRNPH1,FAM20B,ATP6V0C,CD63,TCEAL8,EXOSC6,VMP1,TCEA1,NDUFA11,ZFAND5,EEF1B2,EEF1A1,PSMD14,UBB,UBE2H,CPSF6,HSPA5,DSTN,AZIN1,GNB2,GCLM,LGALS3BP,RBM25,YBX1,RPS4X,LRRFIP2,YWHAG,RPS3A,EEF1D,NDUFS5,PFDN2,CLCN3,GMDS,HES1,TAF10,GOLPH3,RPL26L1"
"gene_set_query"	"8"	"0.0678"	"PBX3_A549_HG19"	"PBX3"	"113"	"1958"	"1.246E-11"	"5.73E-10"	"2.162"	"ENCODE--ChIP-seq"	"TFRC,RPL8,RPL36,RPL38,JUNB,IER3,RPL23,RPL26,RPL28,ATF4,SF1,PRR13,OAZ1,MRPL20,JUND,PLK2,FOSL1,CYLD,HNRNPC,BTG1,RPLP1,ARPC1B,RPLP0,MRC2,TUBA1C,TRMT112,TPI1,FOS,GPRC5A,PLCB4,GAS5,RPL10,RPL12,GSTP1,RPL11,RPS15A,RPL13,FOSB,IRS2,ABHD12,LAMP1,MACROD2,TMSB10,BNIP3L,RPS9,RPS7,FRMD5,FKBP8,MALAT1,UAP1,EIF4EBP1,GOT1,DRAP1,HSP90AB1,HMGCS1,GPX4,ITGA3,PPP1R15A,HDAC7,FYN,POLR2L,MBOAT2,TPCN1,DNAJA1,EIF4A2,CCNI,CBLB,RPS16,RPL18A,SNRPD1,EPC1,ARL6IP4,SEPHS2,TLN1,PFN2,EPB41,TXN,HLTF,PCBP2,SARAF,GADD45B,SNHG5,CALM3,FBXL7,RPS23,AKR1B1,MAP1LC3B,ANKRD1,HNRNPH1,CD63,EXOSC6,NQO1,MEGF9,ZFAND5,EEF1B2,CHCHD2,EEF1A1,UBB,HSPA8,HSPA5,AZIN1,CAPRIN1,GNB2,RBM25,YBX1,CHD2,YWHAQ,MYH9,POMP,UACA,HES1,TAF10,VIM"
"gene_set_query"	"9"	"0.07627"	"SP1_GM12878_HG19"	"SP1"	"81"	"1263"	"4.665E-11"	"1.84E-9"	"2.419"	"ENCODE--ChIP-seq"	"TFRC,RPL31,GHITM,RPL8,RPL9,RPL38,JUNB,IER3,RPL23,RPL24,RPL29,RPL28,PRR13,SNU13,EPB41L5,JUND,PA2G4,FOSL1,ARF4,BTG1,TUBA1C,TUBA1A,RPL11,RPS15A,AP2S1,RPL13,RPS2,APEX1,CTNND1,RPS9,RPS7,RPSA,ERP29,FKBP8,SNRPF,FTL,TARS,GOT1,EEF2,RHEB,CDK4,HSP90AB1,RPL7A,RPL37A,PPP1R15A,CNBP,DNAJA1,KLF6,MGAT4B,NUDT6,RPS15,RPS16,SEPHS2,SRRM2,TLN1,RAB11FIP1,HLTF,SARAF,RPS23,AKR1B1,HERPUD1,MAP1LC3B,SEC61G,TMED7,MLF1,HNRNPH1,ATP6V0C,CUX1,TCEA1,EEF1B2,CHCHD2,CCDC148,UBE2H,IDH1,HMGA1,TBCA,DBI,CHD2,RBM3,BCKDHB,EEF1G"
"gene_set_query"	"10"	"0.08475"	"JUN_K562_HG19"	"JUN"	"184"	"3802"	"9.401E-11"	"3.24E-9"	"1.795"	"ENCODE--ChIP-seq"	"RPL5,TES,TFRC,RPL31,ZNF292,GHITM,RPL8,RBPJ,RPL9,RPL7,RPL36,RPL35,RPL38,DLEU2,JUNB,MBNL2,RFX3,DAAM1,DDIT4,RPL24,RPL27,RPL26,RPL29,UBA52,ATF3,ATF4,SF1,SNU13,OAZ1,GABARAP,MRPL20,RNF217,JUND,NEBL,TIPARP,PRDX6,FOSL1,CDK12,ARF4,BTG1,RPLP0,TUBA1C,ANXA1,ANXA2,HSBP1,FOS,MZT2B,GARS,GAS5,AHNAK,RPL12,RPL11,PSMA7,RPS15A,MICALL1,RPL14,AP2S1,RPS2,WWOX,FOSB,RPL22L1,CTNND1,IRS2,LAMP1,SLC39A9,TMSB10,RPS9,RPS7,SARS,RPSA,ZCRB1,NEAT1,ERP29,MALAT1,ERH,FTL,TARS,RAP1B,EIF4EBP1,GOT1,CCDC14,TNFRSF10B,EEF2,DRAP1,CDK4,RNF10,HSP90AB1,SUMO1,GPX4,EDF1,ETF1,PPP1R15A,MTPN,FEM1C,POLR2L,TXNRD1,DNAJA1,KLF7,KLF6,MGAT4B,SLC25A33,TPT1,CCNI,PLEKHB2,RPS15,RPS16,SNRPD1,FTH1,ARL6IP4,CCNL1,RPS13,KRT8,TLN1,EPB41,TXN,UBE2J1,RAB11FIP1,ZNF706,HLTF,PCBP2,SARAF,DPH6,NBEAL1,SNHG5,RPS28,RPL27A,RPS24,PYROXD1,HERPUD1,PCM1,MAP1LC3B,RAC1,TMED7,GAB2,HNRNPH1,PABPC1,ATP6V0C,CD63,TCEAL8,EXOSC6,RANBP1,VMP1,XPOT,TCEA1,NDUFA13,UBE3C,NDUFA11,AKR7A2,COTL1,PSMD14,UBB,UBC,ATP5MG,HSPA9,YARS,UBE2H,HSPA5,AZIN1,SEM1,CAPRIN1,GCLM,RBM25,SLC2A1,CHD2,RBM3,RPS4X,YWHAG,ABCC4,RPS3A,YWHAZ,HKDC1,NDUFS5,RALA,NT5C2,CLCN3,GMDS,HES1,TAF10,SCLT1,ATP2B4,NAP1L1,GOLPH3,VIM,RPL26L1"
