Query Name	Rank	Scaled Rank	Set_name	TF	Intersect	Set length	FET p-value	FDR	Odds Ratio	Library	Overlapping_Genes
"gene_set_query"	"1"	"0.003367"	"ATF2"	"ATF2"	"106"	"1451"	"3.325E-17"	"9.88E-15"	"2.782"	"ReMap--ChIP-seq"	"RPL5,RPL32,RPL31,MT-CO1,MT-ND2,RPL9,RPL35,RPL38,DLEU2,JUNB,IER2,IER3,RPL21,RPL23,DDIT4,RPL24,RPL27,MT-CO3,RPL29,ATF4,SF1,PRR13,OAZ1,GABARAP,MRPL20,PRELID1,JUND,TIPARP,FOSL1,HNRNPC,BTG1,RPLP1,RPLP0,RACK1,FOS,GAS5,AHNAK,RPL10,RPL12,GSTP1,RPL11,RPS3,RPS2,RPS27A,RPL19,FOSB,RPL10A,KCMF1,RPS9,RPS7,RPS8,RPS6,RPSA,NEAT1,MALAT1,FTL,ANKRD10,ADAMTSL4-AS1,EEF2,CDK4,HSP90AB1,RPL7A,PTP4A2,RPL37A,RPL35A,KLF6,TPT1,EIF4A2,ZMYND8,RPS17,RPS16,RPL18A,RPS19,RPS18,FTH1,CCNL1,RPS12,SRRM2,SNHG14,EZR,RAB11FIP1,PCBP2,XBP1,GADD45B,RPL27A,ID3,RPS24,ZFAS1,HNRNPH1,PABPC1,RANBP1,ZFAND5,ARID5B,EEF1A1,UBC,UBE2H,HMGA1,AZIN1,GNB2,SLC2A1,CHD2,RBM3,NFKBIZ,RPS3A,EEF1G,NDUFS5"
"gene_set_query"	"2"	"0.006734"	"PAX6"	"PAX6"	"102"	"1442"	"8.496E-16"	"1.26E-13"	"2.687"	"ReMap--ChIP-seq"	"RPL31,MT-CO1,RPL34,MT-ND2,RPL8,RPL9,RPL7,PLCE1,RPL38,RPL21,RPL23,DDIT4,RPL27,MT-CO3,RPL26,RPL28,ATF4,PRR13,GABARAP,MRPL20,JUND,PLK2,FOSL1,RPLP1,RPLP0,TUBA1C,TUBA1B,TUBA1A,RACK1,RPLP2,ANXA1,TPI1,ANXA2,GPRC5A,GAS5,RPL10,RPL12,RPL14,RPL13,RPS2,RPS27A,RPL17,DHRS3,RPL22L1,RPL10A,TMSB10,AP2M1,KCMF1,RPS8,RPS6,DIO2,NEAT1,MALAT1,FTL,CD151,BAG2,LINC01004,ADAMTSL4-AS1,MSC-AS1,DRAP1,PTPRB,MIR31HG,RPL7A,GPX4,ITGA3,RPL37A,POLR2L,LINC00472,RPL35A,DNAJA1,KLF6,MGAT4B,TPT1,SPARC,RPS15,RPS19,CCNL1,RPS12,KRT8,KRT7,PCBP2,GADD45B,SNHG5,RPS28,RPL27A,ID3,RPS24,RPS23,ZFAS1,ZFAND5,EEF1A1,UBB,UBC,HSPA8,HSPA5,HMGA1,SLC2A1,LRRFIP2,RPS3A,MYH9,TAF10,VIM"
"gene_set_query"	"3"	"0.0101"	"SMAD3"	"SMAD3"	"96"	"1452"	"2.281E-13"	"2.26E-11"	"2.499"	"ReMap--ChIP-seq"	"MT-CO1,MT-ND2,RPL8,JUNB,IER2,DDIT4,RPL27,MT-CO3,RPL26,GABARAP,S100A10,JUND,PA2G4,FOSL1,BTG1,RPLP0,RPLP2,ANXA1,ANXA2,GPRC5A,AHNAK,RPL10,RPL12,RPS3,RPS2,DHRS3,FOSB,CTNND1,IRS2,RPL10A,TMSB10,AP2M1,KCMF1,RPS8,NEAT1,MALAT1,CD151,ANKRD10,ADAMTSL4-AS1,TNFRSF10B,DRAP1,CDK6,RNF10,HSP90AB1,GPX4,ITGA3,PTP4A2,SEMA3C,MALT1,HDAC7,PARD6B,POLR2L,MBOAT2,TPCN1,KLF7,KLF6,OCIAD2,TPT1,EIF4A2,ZMYND8,RPS16,CCNL1,TNS3,RPS12,KRT8,KRT7,CCDC80,EZR,RAB11FIP1,ARSJ,GADD45B,SNHG5,RPL27A,ID3,ZFAS1,PABPC1,CD63,KLHL5,MYADM,LTBP3,UBC,YARS,UBE2H,HMGA1,DSTN,SLC2A1,CHD2,RPS4X,EEF1G,PALLD,MYH9,PFDN2,UACA,HES1,GOLPH3,VIM"
"gene_set_query"	"4"	"0.01347"	"LHX2"	"LHX2"	"92"	"1443"	"4.307E-12"	"3.2E-10"	"2.404"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,RPL7,MBNL2,MT-CO3,ATF4,GABARAP,FLRT2,RNF217,S100A10,NDFIP2,NEBL,TIPARP,PLK2,FOSL1,HNRNPC,BTG1,ANXA1,ANXA2,GPRC5A,AGPS,DPYD,GAS5,RPL12,DHRS3,RNF145,RPL22L1,LINC01111,IRS2,FOXQ1,TMSB10,DIO2,NEAT1,FTL,CD151,RAP1B,IGFBP7,ADAMTSL4-AS1,PTPRB,MIR31HG,NFE2L2,ITGB8,SPDL1,RPL37A,SEMA3C,MALT1,FYN,POLR2L,LINC00472,KLF6,MGAT4B,TPT1,EIF4A2,NUDT6,TNS3,KRT8,KRT7,CCDC80,EZR,UBE2J1,NTNG1,SNHG5,ID3,INVS,ZFAS1,ANKRD1,IL18,CFAP299,PABPC1,HSD17B2,KLHL5,MEGF9,ZFAND5,PPME1,EEF1A1,UBC,HSPA8,HSPA5,HMGA1,SLC2A1,CHD2,RND3,LRRFIP2,ABCC4,YWHAZ,HKDC1,UACA,PDLIM5,ZNF804A,LAMB1,VIM"
"gene_set_query"	"5"	"0.01684"	"SMAD5"	"SMAD5"	"91"	"1444"	"9.898E-12"	"5.88E-10"	"2.374"	"ReMap--ChIP-seq"	"RPL5,TFRC,RPL31,RPL34,RPL9,RPL36,RPL35,IER2,IER3,RPL23,RPL24,RPL27,RPL28,ATF4,SF1,PRR13,OAZ1,GABARAP,MRPL20,JUND,PA2G4,FOSL1,HNRNPC,ARPC1B,RPLP0,RACK1,RPLP2,ANXA1,TPI1,DYNLL1,RPL10,RPL12,RPL11,RPS15A,RPS3,RPS2,DHRS3,APEX1,RPL10A,RPS9,RPS8,RPSA,NEAT1,FTL,SRSF9,CD151,UQCRH,ADAMTSL4-AS1,EEF2,HSP90AB1,RPL7A,GPX4,EDF1,RPL37A,ETF1,POLR2L,RPL35A,KLF6,MGAT4B,EIF4A2,ZMYND8,RPS15,RPS16,RPL18A,RPS19,RPS18,CCNL1,RPS12,SRRM2,TALDO1,TLN1,PCBP2,RPS24,ZFAS1,HERPUD1,MAP1LC3B,CLIC1,HNRNPH1,PABPC1,EXOSC6,RANBP1,EEF1A1,HSPA9,HSPA8,HMGA1,GNB2,CHD2,RPS4X,EEF1G,EEF1D,TAF10"
"gene_set_query"	"6"	"0.0202"	"JUND"	"JUND"	"88"	"1451"	"1.281E-10"	"6.34E-9"	"2.279"	"ReMap--ChIP-seq"	"RPL8,RPL36,JUNB,IER2,IER3,RPL23,DDIT4,RPL27,RPL29,RPL28,ATF4,OAZ1,GABARAP,SERPINH1,S100A10,JUND,PA2G4,FOSL1,RPLP0,TRMT112,RACK1,RPLP2,ANXA1,TPI1,ANXA2,GPRC5A,AHNAK,RPL10,RPL12,AP2S1,RPS2,DHRS3,FOSB,RPL10A,TMSB10,NEAT1,MALAT1,FTL,CD151,ADAMTSL4-AS1,TNFRSF10B,EEF2,DRAP1,CDK4,HSP90AB1,GPX4,ITGA3,EDF1,PTP4A2,PPP1R15A,PARD6B,POLR2L,TPCN1,KLF6,MGAT4B,TPT1,ZMYND8,RPS16,FTH1,CCNL1,KRT8,KRT7,EZR,RAB11FIP1,XBP1,GADD45B,ID3,ZFAS1,CLIC1,ATP6V0C,EEF1A1,MYADM,LTBP3,UBC,HMGA1,DSTN,GNB2,SLC2A1,CHD2,YWHAG,EEF1G,EEF1D,MYH9,PFDN2,PDLIM1,HES1,SCD,VIM"
"gene_set_query"	"7"	"0.02357"	"MAFB"	"MAFB"	"87"	"1452"	"2.804E-10"	"1.19E-8"	"2.25"	"ReMap--ChIP-seq"	"TES,MT-CO1,MT-ND2,RPL9,RPL6,RPL7,RPL38,JUNB,IER2,RPL23,RFX3,DDIT4,MT-CO3,RPL26,ATF3,PRR13,GABARAP,S100A10,TIPARP,PLK2,PA2G4,ARF4,RPLP1,RPLP0,TUBA1C,TUBA1A,RACK1,ANXA1,FOS,RPL17,HIPK2,FOSB,SARS,NEAT1,MALAT1,FTL,LINC01004,GOT1,ADAMTSL4-AS1,EEF2,HSP90AB1,RPL7A,ETF1,PPM1L,HECTD4,NOCT,FEM1C,CNBP,DNAJA1,KLF7,KLF6,SLC25A33,PLEKHB2,RPS16,EPC1,CCNL1,EZR,PFN2,MACF1,TWF1,ZNF706,PCBP2,EGR1,XBP1,GADD45B,MICAL3,CYSTM1,INVS,MAP1LC3B,UBE3C,ZFAND5,COTL1,ARID5B,UBC,HSPA9,UBE2H,DSTN,SDK1,SLC2A1,DBI,CHD2,YWHAQ,YWHAG,CLCN3,PDLIM1,PDLIM5,SCD"
"gene_set_query"	"8"	"0.02694"	"MBD4"	"MBD4"	"85"	"1443"	"9.237E-10"	"3.43E-8"	"2.209"	"ReMap--ChIP-seq"	"RPL5,RPL31,MT-CO1,MT-ND2,RPL9,IER3,RPL21,RPL23,DDIT4,MT-CO3,ATF4,ADAMTS16,FN1,HNRNPC,RPLP1,RPLP0,TUBA1B,RACK1,GAS5,RPS15A,RPS3,RPL13,RPS2,RPS27A,RPL17,RPL22L1,RPL10A,FOXQ1,KCMF1,RPS7,EIF1AX,IGFBP3,RPS6,RPSA,NEAT1,MALAT1,FTL,ZRANB2-AS2,SAV1,ADAMTSL4-AS1,CDK6,NFE2L2,HSP90AB1,RPL7A,HMGCS1,RPL37A,ETF1,ACSS3,RPL35A,DNAJA1,KLF6,TPT1,EIF4A2,RPS19,FTH1,CCNL1,RPS12,SNHG16,EPAS1,XBP1,SNHG5,RPL27A,ID3,RPS24,RPS23,ZFAS1,PTPRK,HERPUD1,PCM1,MAP1LC3B,HNRNPH1,PABPC1,ZFAND5,EEF1B2,EEF1A1,UBB,UBC,HSPA9,HSPA5,IDH1,CHD2,NFKBIZ,RPS3A,SCD,SNTB1"
"gene_set_query"	"9"	"0.0303"	"PPARG"	"PPARG"	"85"	"1448"	"1.079E-9"	"3.56E-8"	"2.201"	"ReMap--ChIP-seq"	"MT-CO1,MT-ND2,RPL7,JUNB,MBNL2,RPL23,DDIT4,RPL27,MT-CO3,GABARAP,S100A10,PA2G4,FOSL1,BTG1,RPLP0,TRMT112,RPLP2,ANXA1,ANXA2,FOS,GPRC5A,AGPS,AHNAK,MICALL1,AP2S1,RIOK3,DHRS3,IRS2,FOXQ1,NEAT1,MALAT1,CD151,ADAMTSL4-AS1,TNFRSF10B,DRAP1,RHEB,MIR31HG,NFE2L2,RNF10,GPX4,ITGA3,PTP4A2,SEMA3C,PARD6B,MAL2,FEM1C,POLR2L,CNBP,KLF2,KLF6,MYO1C,MGAT4B,ZMYND8,RPS16,FTH1,CCNL1,IFRD1,KRT8,KRT7,TALDO1,CCDC80,EPAS1,XBP1,GADD45B,RPS28,PTPRF,MAP1LC3B,NAALADL2,FAM20B,CD63,TMEM135,UBC,HSPA5,HMGA1,CAPRIN1,SLC2A1,NFKBIZ,YWHAG,EEF1G,MYH9,PFDN2,HES1,PDLIM5,SCD,SNTB1"
"gene_set_query"	"10"	"0.03367"	"ZBED1"	"ZBED1"	"84"	"1445"	"2.028E-9"	"6.02E-8"	"2.179"	"ReMap--ChIP-seq"	"TFRC,MT-CO1,MT-ND2,RPL8,RPL36,RPL35,JUNB,IER2,IER3,RPL23,DDIT4,MT-CO3,RPL29,ATF4,OAZ1,GABARAP,JUND,PA2G4,FOSL1,BTG1,RPLP0,TUBA1B,RACK1,RPLP2,GAS5,AHNAK,RPL10,ODC1,RPL13,RPS2,FOSB,TMSB10,RPS9,RPS8,RPS6,RPSA,NEAT1,MALAT1,FTL,CD151,LINC01004,ADAMTSL4-AS1,MSC-AS1,EEF2,HSP90AB1,RPL7A,GPX4,PTP4A2,RPL37A,PPP1R15A,POLR2L,KLF6,MGAT4B,EIF4A2,RPS15,RPS17,RPS16,RPS18,CCNL1,RPS12,SRRM2,RAB11FIP1,EGR1,SNHG5,RPS28,RPL27A,ID3,RPS24,ZFAS1,HERPUD1,CLIC1,RANBP1,EEF1A1,LTBP3,UBC,HSPA8,HSPA5,HMGA1,SLC2A1,YWHAZ,EEF1G,EEF1D,HES1,VIM"
