,Rank,sample_id,factor,cell_line,cell_type,tissue,DNase_p_value,ChIP-seq_p_value,H3K27ac_p_value,summary_p_value
0,1,46361,GATA3,SK-N-SH,Neuroblastoma cell,Brain,2.2286537075887158e-10,3.945135992494287e-20,2.13584808118322e-08,1.183540797536591e-19
1,2,54241,FOSL2,None,Stromal Cell,Endometrium,8.555995116003607e-13,4.1813785383845415e-18,7.864502020144811e-12,1.2544067641161703e-17
2,3,46036,JUND,SK-N-SH,Neuroblastoma cell,Brain,3.067708253644005e-10,4.451711733174609e-16,1.2342355341654014e-09,1.3322676295501878e-15
3,4,46362,TCF12,SK-N-SH,Neuroblastoma cell,Brain,9.987893016868733e-07,3.497951639874638e-15,4.184260240691747e-06,1.0436096431476471e-14
4,5,54125,CEBPB,None,Mesenchymal Stem Cell,None,2.1854208400668954e-11,7.185373669200813e-15,1.7978872066848774e-10,2.148281552649678e-14
5,6,45861,CEBPB,IMR90,Fibroblast,Lung,2.017793198819777e-09,8.316563249233999e-15,1.5455169733267548e-08,2.5091040356528538e-14
6,7,71242,CEBPB,None,Osteoblast,None,9.256419164115677e-12,9.535299567369102e-15,5.613953835187563e-10,2.864375403532904e-14
7,8,71243,CEBPB,None,Osteoblast,None,8.803914199079115e-11,1.5049047072135853e-14,4.1196830639895454e-09,4.524158825347513e-14
8,9,56535,TEAD1,None,None,None,8.370839963423773e-13,1.5996029009763545e-14,2.725660318474687e-12,4.679590048795035e-14
9,10,52500,JUN,None,None,Coronary artery smooth muscle,3.4120285302998944e-11,3.165864160050585e-14,3.5349228981137646e-10,9.492406860545088e-14
10,11,46004,FOS,MCF-10A,Epithelium,Breast,6.545462399190476e-09,8.754046112936383e-14,2.6821844408435516e-09,2.6278978992877455e-13
11,12,54127,CEBPB,None,Mesenchymal Stem Cell,None,6.083306125710386e-09,9.390285138487156e-14,5.83940443418617e-09,2.8188562595232725e-13
12,13,46351,JUND,SK-N-SH,Neuroblastoma cell,Brain,4.6426686026966865e-10,9.943221972601281e-14,1.00563571621181e-08,2.9831692671677956e-13
13,14,56632,JUN,MDA-MB-231,Epithelium,Breast,1.900875521041859e-12,1.56421515237496e-13,1.57593309277509e-11,4.296563105299356e-13
14,15,54243,FOXO1,None,Stromal Cell,Endometrium,8.735083116468308e-07,1.490037161488885e-13,5.310126195382068e-07,4.470313008653193e-13
