,Rank,sample_id,factor,cell_line,cell_type,tissue,DNase_p_value,ChIP-seq_p_value,H3K27ac_p_value,summary_p_value
0,1,56668,HOXB13,LHSAR,Epithelium,Prostate,2.687672995679228e-17,1.0740012567210692e-28,1.014231445451081e-11,3.222003770150333e-28
1,2,56901,PBX3,SMMC-7721,None,Liver,6.344162637754306e-22,3.2229434873069744e-27,1.4418235175683822e-22,9.668565220139686e-27
2,3,45861,CEBPB,IMR90,Fibroblast,Lung,6.38909555396763e-08,7.028361537072069e-27,0.000552079210851423,2.1085084611216206e-26
3,4,56667,HOXB13,LHSAR,Epithelium,Prostate,2.7719847523661005e-14,8.885267934843838e-27,5.107551769137565e-10,2.6655803804522975e-26
4,5,56666,HOXB13,LHSAR,Epithelium,Prostate,6.34322641962035e-14,1.1363081179777115e-26,9.79067531120287e-08,3.408924353932525e-26
5,6,54611,TEAD1,SF268,None,None,8.182726290901887e-21,2.202612286829685e-26,1.52266496878036e-17,6.607819064116014e-26
6,7,72703,NUP98-HOXA9,HEK293FT,None,Kidney,2.7190382472037377e-25,7.76441754159702e-26,1.0119171612523182e-24,1.7098634867591043e-25
7,8,54127,CEBPB,None,Mesenchymal Stem Cell,None,1.61693168100399e-12,3.531614135132714e-25,3.27200193292511e-08,1.059484240539583e-24
8,9,74345,OTX2,D283 Med,None,None,1.556155259439932e-11,5.330590815158476e-25,4.185046166839977e-11,1.5991772445474677e-24
9,10,54126,CEBPB,None,Mesenchymal Stem Cell,None,3.9211406023178665e-10,1.148478335170265e-24,1.6184591007962492e-06,3.4454350055107855e-24
10,11,54134,CEBPB,None,Mesenchymal Stem Cell,None,3.641432642611822e-12,1.3974672084474477e-24,2.394210843583802e-05,4.192401625340734e-24
11,12,46361,GATA3,SK-N-SH,Neuroblastoma cell,Brain,5.85335959853377e-08,2.9947748209711227e-24,2.421084115280481e-06,8.984324462913369e-24
12,13,74361,OTX2,D283 Med,None,None,2.2014403305022004e-14,2.9957303901821257e-24,3.496011969383496e-12,8.987191169318849e-24
13,14,54612,TEAD1,SF268,None,None,2.663610252190575e-21,3.2882489986491572e-24,5.768436562152356e-19,9.852527804958786e-24
14,15,71216,FOXA1,LNCaP,Epithelium,Prostate,3.5731838279912784e-10,3.159021557286052e-23,1.5321185465525283e-08,9.4770646718573e-23
15,16,71218,FOXA1,LNCaP,Epithelium,Prostate,1.4930998453303736e-09,7.54265842787967e-23,1.693676594451419e-08,2.2627975283637763e-22
16,17,71215,FOXA1,LNCaP,Epithelium,Prostate,3.5507566496900414e-09,1.9259238732347022e-22,2.372378664993311e-09,5.777771619703324e-22
17,18,74344,OTX2,D283 Med,None,None,3.388338687452081e-07,6.969101382873381e-22,7.465184372117933e-07,2.0907304148620083e-21
18,19,54133,CEBPB,None,Mesenchymal Stem Cell,None,1.881556813485706e-11,3.3476383112667534e-21,0.0001512836674807144,1.0042914932013437e-20
19,20,71214,FOXA1,LNCaP,Epithelium,Prostate,4.343852062265199e-09,5.334502407573412e-21,2.3863714884481673e-08,1.6003507222697007e-20
20,21,71219,FOXA1,LNCaP,Epithelium,Prostate,4.2099567725474916e-08,5.680465516602521e-21,3.232645167232402e-08,1.7041396549802273e-20
21,22,74360,NEUROD1,D283 Med,None,None,4.781219046839402e-09,7.42027869198035e-21,3.6163029389908916e-08,2.2260836075901935e-20
22,23,71212,FOXA1,LNCaP,Epithelium,Prostate,6.583775208969167e-08,8.982679879076943e-21,4.753894282778326e-08,2.6948039637222064e-20
23,24,45864,MAFK,IMR90,Fibroblast,Lung,8.929494410176971e-07,9.654366436127965e-21,1.771237794096588e-05,2.8963099308383564e-20
24,25,50039,FOXA1,LNCaP,Epithelium,Prostate,7.544548608277156e-07,1.202966382484944e-20,8.854561514579694e-07,3.608899147454726e-20
25,26,54608,YAP1,SF268,None,None,6.125379158109058e-14,1.4903336040825477e-20,1.6865143503133992e-12,4.4709996844571404e-20
26,27,47329,FOXA1,DU145,Epithelium,Prostate,4.698716231592722e-12,1.919749790007289e-20,6.380059320037086e-11,5.759249344758624e-20
27,28,71242,CEBPB,None,Osteoblast,None,1.8747004624889226e-14,8.135579970478918e-20,1.3836158882116394e-09,2.4406634006949407e-19
28,29,65125,PRDM6,HEK293,Epithelium,Embryonic Kidney,2.337298944668378e-18,9.001951828001793e-20,7.778929543448949e-17,2.597537198098065e-19
29,30,71747,SOX4,None,Fibroblast,Fetal Lung,2.775169005310059e-07,8.798456408855982e-20,1.538924329572508e-11,2.639536907564992e-19
30,31,56665,FOXA1,LHSAR,Epithelium,Prostate,2.965378707246465e-10,1.0153922020932604e-19,1.525741642227029e-07,3.046176605234696e-19
31,32,48085,AR,HEK293,Epithelium,Embryonic Kidney,2.947869721319808e-11,1.3643705275274834e-19,3.075672342312279e-10,4.0931115618225137e-19
32,33,71213,FOXA1,LNCaP,Epithelium,Prostate,7.2796323807055175e-09,1.4284144394489233e-19,4.155975742336337e-09,4.2852433181154005e-19
33,34,74362,OTX2,D283 Med,None,None,1.6287553826761052e-09,1.7662728407508797e-19,5.4637418721167904e-08,5.298818521660888e-19
34,35,74571,MAZ,T778,None,None,5.048906324063801e-06,3.828266551786553e-19,1.1848859604307463e-08,1.1484799654987724e-18
35,36,47330,FOXA1,DU145,Epithelium,Prostate,3.8405042397909515e-12,5.7402261269463695e-19,1.1347634448054803e-10,1.7220675719832053e-18
36,37,50122,LMNB1,IMR90,Fibroblast,Lung,1.1881039973997626e-12,6.439128584587586e-19,1.0280102684587366e-13,1.9317254353934276e-18
37,38,71243,CEBPB,None,Osteoblast,None,2.0194536064459742e-13,9.357124265470663e-19,2.2259975131326346e-09,2.8071242719288425e-18
38,39,54132,CEBPB,None,Mesenchymal Stem Cell,None,1.6520429776326004e-11,9.506604195242368e-19,9.286391850651565e-06,2.8519810944567645e-18
39,40,71748,SOX4,None,Fibroblast,Fetal Lung,1.011207160754737e-08,9.69104656777652e-19,3.455401849601419e-11,2.90731388851568e-18
40,41,53874,MEF2B,HEK293A,None,None,1.3125259310407673e-12,1.2083690036808544e-18,2.0402221953706483e-10,3.625103652148706e-18
41,42,74343,NEUROD1,D283 Med,None,None,1.363667581807531e-05,2.0978570370732848e-18,9.13406543476673e-06,6.2935711112174404e-18
42,43,54676,YAP1,NCI-H2052,Epithelium,Lung,4.451441112371337e-09,3.644781764947104e-18,5.560326754880916e-06,1.0934345285881245e-17
43,44,54138,CEBPB,None,Mesenchymal Stem Cell,None,2.0354701560937637e-12,3.972393878109765e-18,7.41140378120866e-08,1.1917158376722527e-17
44,45,55512,YAP1,IMR90,Fibroblast,Lung,8.771284530630671e-15,4.3846670579854506e-18,1.722536595990294e-11,1.3147434850845047e-17
45,46,54125,CEBPB,None,Mesenchymal Stem Cell,None,2.183998798312285e-09,5.589798363566651e-18,1.84229375083219e-05,1.6769395047774726e-17
46,47,74342,NEUROD1,D283 Med,None,None,9.779476211371596e-06,6.074132394210812e-18,6.1788143605464595e-06,1.8222397182603207e-17
47,48,50898,PAX6,6540 cells,Epithelium,None,1.7850101449648275e-13,1.080520552899171e-17,7.557046018677638e-14,3.2409021756455077e-17
48,49,71168,AR,LNCaP,Epithelium,Prostate,4.928512963162947e-12,1.1078221509019789e-17,5.494031674609607e-10,3.3234589153165176e-17
