,Rank,sample_id,factor,cell_line,cell_type,tissue,DNase_p_value,ChIP-seq_p_value,H3K27ac_p_value,summary_p_value
0,1,69456,TP53,None,None,Foreskin,1.0488513552722733e-45,2.5136530537209345e-48,3.496261905091473e-45,7.517538034853443e-48
1,2,50112,MAFB,None,Keratinocyte,Foreskin,1.3895958785432727e-44,7.863558722859145e-46,1.5224882904826632e-43,2.221859450538518e-45
2,3,69457,TP53,None,None,Foreskin,6.786379123302238e-44,1.652350413936956e-44,1.301750598905207e-43,3.617194176710026e-44
3,4,74206,BRD4,SF8628,None,Pontine,6.312765038489787e-42,2.1790725725294252e-42,2.5295342540760674e-40,4.8287926133409394e-42
4,5,49980,BRD4,90-8TL,Schwann Cell,Brain,4.370040762381018e-22,1.317499532782932e-40,3.188390822521765e-22,3.952498598348796e-40
5,6,45635,KAT2B,GM12878,B Lymphocyte,Blood,2.1014493071784074e-38,2.576692562610687e-38,4.1914730692809203e-38,2.7209993713177643e-38
6,7,54127,CEBPB,None,Mesenchymal Stem Cell,None,4.765634291292021e-25,4.403592951549824e-37,2.0607064018526526e-20,1.3210778854637268e-36
7,8,50898,PAX6,6540 cells,Epithelium,None,5.140241679139345e-31,1.4400539979459903e-36,2.0257363831497837e-28,4.3201498600985696e-36
8,9,45947,NELFE,K562,Erythroblast,Bone Marrow,4.719991335731192e-36,6.019396904823871e-36,7.297938084163833e-35,7.658983335063136e-36
9,10,54126,CEBPB,None,Mesenchymal Stem Cell,None,1.6051044677021711e-25,1.6342641114089148e-35,3.878884168563168e-19,4.902792333727559e-35
10,11,56958,GTF2B,HeLa,Epithelium,Cervix,1.1445924976819994e-32,2.2208988463975656e-34,9.703518367455295e-31,6.534411164484339e-34
11,12,45742,KAT2B,HeLa-S3,Epithelium,Cervix,7.980480897958447e-34,8.776141704798482e-34,1.50399317006789e-33,9.812236822419484e-34
12,13,46036,JUND,SK-N-SH,Neuroblastoma cell,Brain,2.209255478694284e-25,1.2216899110248612e-33,2.0662188958532385e-20,3.665069712807002e-33
13,14,63854,BCL3,A549,Epithelium,Lung,6.486933012894995e-30,6.682884375157322e-33,4.794253058883578e-27,2.002799222815234e-32
14,15,71281,WDR5,BGC823,human gastric cancer cells,None,2.4320287900715265e-32,2.5954836129836193e-32,2.515714929613007e-32,2.5126358096089374e-32
15,16,55895,T,None,Fibroblast,None,7.23302681439649e-28,1.5226887616259226e-32,3.542186815209701e-23,4.5679701185151604e-32
16,17,45861,CEBPB,IMR90,Fibroblast,Lung,6.345621103086928e-22,2.935467875995134e-32,4.392392427745654e-15,8.80640362757802e-32
17,18,57809,BRD4,LX2,Hepatic Stellate Cell,None,1.5854435777869476e-26,4.4875314978338775e-32,7.209171714193875e-22,1.3462556387462858e-31
18,19,45848,JUN,None,Endothelial Cell,Umbilical Vein,2.6633490983836257e-26,1.2143532128159848e-31,1.2329687163678879e-20,3.643043027968448e-31
19,20,72343,MYC,U87,Glioblastoma cell,None,1.0366066189377396e-30,1.4278717009000829e-30,1.6203987724738713e-30,1.3145434375886292e-30
20,21,71925,GTF2B,K562,None,Haematopoietic and lymphoid,1.665856353255674e-30,6.2163087271276415e-31,1.7355770108113116e-29,1.32357926479084e-30
21,22,54125,CEBPB,None,Mesenchymal Stem Cell,None,1.9319624961408368e-23,4.675535682719406e-31,1.5052376781647003e-19,1.4026606708657236e-30
22,23,52091,TP53,IMR90,Fibroblast,Lung,3.8108537186704686e-25,1.0256172986888057e-30,8.5653005856754e-24,3.0768432469159643e-30
23,24,46004,FOS,MCF-10A,Epithelium,Breast,6.037192488073008e-26,1.1019520077439494e-30,6.479998952244758e-21,3.30579568289756e-30
24,25,63883,BCL3,A549,Epithelium,Lung,3.290256117556888e-25,1.3654423561185112e-30,3.3153107059850022e-21,4.09631006715511e-30
25,26,62534,BCL3,A549,Epithelium,Lung,1.1032741639268171e-28,1.5204548445063943e-30,1.3513217463975014e-26,4.498858239825218e-30
26,27,68711,BRD4,IMR90,None,None,5.305734900157314e-21,1.611806509818292e-30,3.5357798454319286e-15,4.8354195279859425e-30
27,28,49977,BRD4,90-8TL,Schwann Cell,Brain,1.9449673617137023e-21,1.9518534854004506e-30,1.6774614196716706e-20,5.855560449643721e-30
28,29,35268,SNAPC1,MCF-10A,Epithelium,Breast,6.500238802399704e-30,3.659594246698127e-30,3.9039275277760994e-29,6.626757847317185e-30
29,30,68712,BRD4,IMR90,None,None,1.5339558308758084e-25,3.241460761060735e-30,9.39563407464748e-22,9.7241767643341e-30
30,31,36356,POLR2B,IMR90,Fibroblast,Lung,5.157132885015892e-21,3.96150611192293e-30,4.463842253290628e-17,1.1884518326638518e-29
31,32,63001,BCL3,A549,Epithelium,Lung,5.592910232892463e-26,7.828218860917187e-30,3.6332373090823158e-22,2.348136946409568e-29
32,33,62958,NFE2L2,IMR90,Fibroblast,Lung,2.247671877155577e-23,8.195985888480675e-30,5.564316351706632e-20,2.4587948695988507e-29
33,34,56982,GTF2B,HeLa,Epithelium,Cervix,6.674951676054313e-28,1.0233083122297031e-29,2.6937969327270723e-25,3.023458729273078e-29
34,35,36362,GTF2B,IMR90,Fibroblast,Lung,2.9572108135038347e-27,1.5307964390486057e-29,7.54208849769869e-26,4.56781695350415e-29
35,36,64101,BCL3,A549,Epithelium,Lung,3.69949950924568e-24,4.2099927885997125e-29,2.6465107430798993e-21,1.2629834438656915e-28
36,37,2748,CREBBP,T98G,None,Brain,1.3983558919937338e-24,4.275196709170777e-29,7.164478314989704e-21,1.282519794590763e-28
37,38,58334,MED1,LNCaP-abl,Epithelium,Prostate,9.126065515484574e-29,1.186074836182896e-28,3.611283878630648e-28,1.3539192796004728e-28
38,39,64183,BCL3,A549,Epithelium,Lung,7.615441317228882e-27,4.5770171677943323e-29,2.782415121814638e-24,1.3648795269621392e-28
39,40,68715,BRD4,IMR90,fibrobasts,None,2.0503250365859775e-25,6.412074360155878e-29,8.477112892933711e-23,1.9230194588919336e-28
40,41,55682,PAF1,MCF-7,Epithelium,Breast,1.5864043722070196e-27,1.973366683632431e-28,7.629671635194995e-26,5.253071118373185e-28
41,42,57808,BRD4,LX2,Hepatic Stellate Cell,None,3.9213813565268927e-22,1.9628411350711578e-28,2.1526458466694099e-16,5.888520457718654e-28
42,43,48998,AFF4,HeLa,Epithelium,Cervix,6.504191191621655e-26,4.478100547139299e-28,1.1016470273990462e-24,1.3337055336479276e-27
43,44,52092,TP53,IMR90,Fibroblast,Lung,1.0765733804188802e-23,4.765345281390645e-28,2.992956232690548e-23,1.4295175476518089e-27
44,45,71280,WDR5,BGC823,human gastric cancer cells,None,1.5764331971778557e-27,1.7188430792272852e-27,1.6711807324894895e-27,1.6533394605034714e-27
45,46,71242,CEBPB,None,Osteoblast,None,6.87459734471005e-23,2.1400091687695893e-27,5.955346511126923e-18,6.419827659714763e-27
46,47,56961,GTF2B,HeLa,Epithelium,Cervix,9.655053173324746e-21,2.2106199856394167e-27,5.105613938571898e-17,6.631858438201475e-27
47,48,45999,FOS,MCF-10A,Epithelium,Breast,4.9838481819783035e-21,3.0076444761622805e-27,1.5104935626588253e-15,9.022927983327106e-27
48,49,74052,NKX2-1,A549,Epithelium,Lung,4.4409732393052394e-18,3.6793770351295866e-27,4.2447970810090915e-15,1.1038131096234059e-26
49,50,45853,FOS,None,Endothelial Cell,Umbilical Vein,3.757610262219946e-21,6.49917275822058e-27,2.5129157429252472e-17,1.9497484546717682e-26
50,51,45781,TBP,HeLa-S3,Epithelium,Cervix,8.601636954801003e-21,1.0745336757084585e-26,1.4128382457564221e-16,3.2235969998984203e-26
51,52,46007,FOS,MCF-10A,Epithelium,Breast,3.409693618133371e-21,1.16261995495123e-26,8.7080531804808e-17,3.4878479717017423e-26
52,53,54241,FOSL2,None,Stromal Cell,Endometrium,3.735829153787289e-21,2.588844922834573e-26,3.8933298771474876e-16,7.766480948034763e-26
53,54,63665,CEBPB,A549,Epithelium,Lung,7.978710566534238e-23,2.6965808367291723e-26,3.5120708905078564e-19,8.087008706687348e-26
54,55,55465,NELFA,HeLa,Epithelium,Cervix,3.977437940525572e-23,3.0152071220472614e-26,1.0984836065741808e-19,9.038766797298977e-26
55,56,46361,GATA3,SK-N-SH,Neuroblastoma cell,Brain,3.699497032205587e-15,4.29134684090807e-26,5.157510168240898e-10,1.2874040522577494e-25
56,57,64912,BCL3,A549,Epithelium,Lung,1.409143435357232e-24,4.9782838756021856e-26,1.0429477090639134e-22,1.441858318468283e-25
57,58,46002,STAT3,MCF-10A,Epithelium,Breast,4.505041814668067e-17,6.722562828641829e-26,1.3502522882369837e-12,2.0167688455829637e-25
58,59,49267,BMI1,293T-Rex,None,None,9.400300639702443e-25,1.1697599208126843e-25,4.820241562626234e-25,2.5669232601662274e-25
